"","none_combat","none_combat_ref","softimpute_combat","softimpute_combat_ref"
"none_combat",248,243,247,244
"none_combat_ref",243,245,244,245
"softimpute_combat",247,244,521,506
"softimpute_combat_ref",244,245,506,513
