"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","15/164","82/7869",0.182926829268293,8.77714158239143,10.3278428803676,9.5202488685686e-11,2.43718371035356e-08,2.13454000947907e-08,"10544/11326/1675/2/2152/2162/3689/5265/629/712/713/717/719/7448/7450",15
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","13/164","82/7869",0.158536585365854,7.60685603807258,8.7737339447329,1.1161151447753e-08,1.42862738531239e-06,1.25122382019547e-06,"1675/192666/2213/2357/3109/3113/3122/3689/629/712/713/717/719",13
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","13/164","151/7869",0.0860927152317881,4.13087546438378,5.66721459343201,1.44401129902855e-05,0.00123222297517103,0.00107920844453712,"3106/3109/3113/3122/3134/3384/3689/4897/57863/58494/920/942/947",13
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","8/164","67/7869",0.119402985074627,5.7291590826356,5.67134581859756,6.88156084420959e-05,0.00434226711796175,0.00380305467157012,"3106/3109/3113/3122/3134/3689/3908/942",8
"Human Diseases","Immune disease","hsa05330","Allograft rejection","6/164","36/7869",0.166666666666667,7.9969512195122,6.13852192556811,8.67501639706233e-05,0.00434226711796175,0.00380305467157012,"3106/3109/3113/3122/3134/942",6
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","6/164","37/7869",0.162162162162162,7.78081740276862,6.0313474866982,0.000101771885577228,0.00434226711796175,0.00380305467157012,"3106/3109/3113/3122/3134/942",6
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","6/164","42/7869",0.142857142857143,6.85452961672474,5.54992052102177,0.000210706251530285,0.00770582862739329,0.00674893707909034,"3106/3109/3113/3122/3134/942",6
"Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","6/164","46/7869",0.130434782608696,6.2584835630965,5.2181979468731,0.00035123520731627,0.0112395266341206,0.00984382883662704,"3106/3109/3113/3122/3134/942",6
"Metabolism","Lipid metabolism","hsa00565","Ether lipid metabolism","6/164","49/7869",0.122448979591837,5.87531110004978,4.99418671929256,0.000498036034535878,0.0117080796036471,0.0102541980081284,"5168/5320/5322/7941/8399/8613",6
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","7/164","68/7869",0.102941176470588,4.93929340028694,4.75954485408176,0.000500597943945643,0.0117080796036471,0.0102541980081284,"1520/3106/3109/3113/3122/3134/920",7
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","8/164","90/7869",0.0888888888888889,4.2650406504065,4.54481008308416,0.000545307968405239,0.0117080796036471,0.0102541980081284,"10673/3109/3113/3122/3689/6347/7043/942",8
"Cellular Processes","Transport and catabolism","hsa04145","Phagocytosis","14/164","245/7869",0.0571428571428571,2.7418118466899,4.04073729892013,0.000571687090809894,0.0117080796036471,0.0102541980081284,"10381/1520/1536/2213/3106/3109/3113/3122/3134/3689/4688/8547/929/948",14
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","9/164","114/7869",0.0789473684210526,3.78802952503209,4.37448237736059,0.000594550917372702,0.0117080796036471,0.0102541980081284,"3109/3113/3122/712/713/717/8339/8365/942",9
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","13/164","220/7869",0.0590909090909091,2.83528270509978,4.02791001876048,0.00065831747812682,0.012037805314319,0.0105429791609784,"1536/1675/2162/51284/629/6347/7113/712/713/717/719/7450/834",13
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","8/164","94/7869",0.0851063829787234,4.08354955889984,4.38765466744047,0.000729906279299451,0.0123400389415756,0.0108076821322188,"3109/3113/3122/920/929/947/948/960",8
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","7/164","73/7869",0.0958904109589041,4.600985633144,4.50935764815468,0.000771252433848477,0.0123400389415756,0.0108076821322188,"23643/3689/712/713/717/834/929",7
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","7/164","74/7869",0.0945945945945946,4.53881015161503,4.46203366555353,0.0008371480913927,0.0126064653762665,0.0110410243632598,"1536/3109/3113/3122/3689/4688/7043",7
NA,NA,"hsa04518","Integrin signaling","10/164","151/7869",0.0662251655629139,3.17759651106445,3.9416792096967,0.00117986983804589,0.016780371029986,0.0146966242984664,"10319/3384/3479/3689/3908/5159/6696/7424/7448/7450",10
"Organismal Systems","Digestive system","hsa04975","Fat digestion and absorption","5/164","43/7869",0.116279069767442,5.57926829268293,4.39266590395698,0.00187749757012746,0.0252968093659279,0.0221555114923628,"5320/5322/8399/8613/948",5
"Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","6/164","64/7869",0.09375,4.49828506097561,4.09945861894052,0.00206550007694719,0.026438400984924,0.0231553429678816,"3109/3113/3122/4094/6775/7043",6
"Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","5/164","45/7869",0.111111111111111,5.33130081300813,4.25087134563148,0.00230462570318399,0.0269522482930249,0.0236053819342694,"10673/3109/3113/3122/942",5
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","7/164","88/7869",0.0795454545454545,3.81672671840355,3.87646725596381,0.00231620883768183,0.0269522482930249,0.0236053819342694,"10319/3908/6696/7448/7450/948/960",7
"Human Diseases","Immune disease","hsa05310","Asthma","4/164","29/7869",0.137931034482759,6.61816652649285,4.42184335570245,0.0028764639857356,0.0320162947977528,0.0280405871378344,"2207/3109/3113/3122",4
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","5/164","48/7869",0.104166666666667,4.99809451219512,4.05331457349703,0.00307214801657696,0.0327695788434876,0.0287003301548637,"3043/3689/6347/7043/948",5
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","7/164","98/7869",0.0714285714285714,3.42726480836237,3.52743906968495,0.00424574079615199,0.0434763857525964,0.0380775911402263,"1536/1958/2152/4313/6347/7043/7424",7
