"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002250","adaptive immune response","43/508","458/15845",0.0938864628820961,2.92840748891105,7.62164358408245,2.70526312892069e-10,1.08997510794332e-07,8.37207747265982e-08,"IL18BP/TNFSF13B/LILRB5/CTSS/GPR183/FCER1G/FCGR1A/FCGR2A/FCGR2B/RAP1GAP2/RFTN1/MCOLN2/NCKAP1L/HLA-A/HLA-B/HLA-DMB/HLA-DPA1/HLA-DRA/HLA-F/IL6/TLR8/TREM1/PRKCB/STAT4/SYK/TLR4/C1QA/C1QB/C1QC/C2/C4BPB/C5/TXK/C7/WAS/LILRA6/HAVCR2/TNFRSF14/IL33/CD4/CD28/CD86/CD74",43
"GO:0032602","chemokine production","18/508","93/15845",0.193548387096774,6.03695707391415,8.86616760004174,7.46655514034875e-10,2.54552095246351e-07,1.95520966185327e-07,"POSTN/EGR1/AIF1/ALOX15B/ACKR1/MCOLN2/APOD/IL6/LPL/MBP/TLR7/SYK/TLR4/C5/HAVCR2/IL33/KLF4/CD74",18
"GO:0032642","regulation of chemokine production","18/508","93/15845",0.193548387096774,6.03695707391415,8.86616760004174,7.46655514034875e-10,2.54552095246351e-07,1.95520966185327e-07,"POSTN/EGR1/AIF1/ALOX15B/ACKR1/MCOLN2/APOD/IL6/LPL/MBP/TLR7/SYK/TLR4/C5/HAVCR2/IL33/KLF4/CD74",18
"GO:0042116","macrophage activation","19/508","106/15845",0.179245283018868,5.59082974298024,8.63077144123235,9.90684914048872e-10,3.13622538504614e-07,2.40892858047673e-07,"VSIG4/AIF1/FCGR2B/CD93/IL6/ITGAM/ITGB2/MAPT/CCL3/SNCA/SYK/TLR1/TLR4/C1QA/TYROBP/PLA2G10/HAVCR2/IL33/CD74",19
"GO:0002443","leukocyte mediated immunity","38/508","393/15845",0.0966921119592875,3.01591833463565,7.36496902093863,1.35527808642381e-09,3.81533320138912e-07,2.9305499651559e-07,"HCST/SCN11A/FCER1G/FCGR1A/FCGR2A/FCGR2B/RFTN1/CADM1/MILR1/NCKAP1L/HLA-A/HLA-B/HLA-DRA/HLA-F/IL6/ITGAM/ITGB2/LEP/CALHM6/TLR8/TREM1/PTGDS/CCL3/SPI1/SYK/TLR4/C1QA/C1QB/C1QC/C2/C4BPB/C5/C7/TYROBP/WAS/HAVCR2/CD28/CD74",38
"GO:1903557","positive regulation of tumor necrosis factor superfamily cytokine production","19/508","108/15845",0.175925925925926,5.48729585885098,8.5158827676859,1.37737660699968e-09,3.81533320138912e-07,2.9305499651559e-07,"CYBB/FCGR1A/FCGR2A/FCGR2B/LY96/IL6/ISL1/LEP/LPL/CCL3/SYK/TLR1/TLR4/TYROBP/HAVCR2/IL33/CD14/CD86/CD36",19
"GO:0071674","mononuclear cell migration","27/508","219/15845",0.123287671232877,3.8454589580412,7.71692958643925,2.03671440259204e-09,5.30983425428702e-07,4.07847329906048e-07,"CCR7/CMKLR1/DEFA1/GPR183/AIF1/PLCB1/MCOLN2/GAS6/APOD/IL6/CXCR2/MMP2/NBL1/PECAM1/PTPRO/CXCL16/JAM2/RARRES2/CCL2/CCL3/BMP5/C3AR1/C5/DEFA1B/PLA2G7/TRIM55/TNFRSF14",27
"GO:0022407","regulation of cell-cell adhesion","43/508","490/15845",0.0877551020408163,2.73716455085971,7.10899407512293,2.18873444426206e-09,5.38915058720525e-07,4.13939601914825e-07,"SH2B3/FSTL3/PDPN/TNFSF13B/FGL2/VSIG4/CCR7/ADAMTS18/AIF1/GCNT1/RGCC/NCKAP1L/HLA-A/HLA-DMB/HLA-DPA1/HLA-DRA/APOA1/IGF1/IL6/IDO1/ITGB2/LEP/EPCAM/MBP/KITLG/PLA2G2A/PLA2G5/CCL2/SPI1/SYK/LAPTM5/FERMT3/HAVCR2/PLPP3/PDE5A/TNFRSF14/WNT3A/CD4/KLF4/CD28/CD86/CD44/CD74",43
"GO:0001906","cell killing","28/508","237/15845",0.118143459915612,3.6850061463836,7.57948841055182,2.69992121028598e-09,6.29792147578288e-07,4.83742116014674e-07,"HCST/DEFA1/DEFA3/FCGR1A/FCGR2A/FCGR2B/CADM1/CXCL1/NCKAP1L/HLA-A/HLA-B/HLA-DRA/HLA-F/ITGAM/LEP/LYZ/NTS/PLA2G2A/TREM1/PPBP/CCL8/CCL13/SPI1/C5/DEFA1B/C7/TYROBP/HAVCR2",28
"GO:0002685","regulation of leukocyte migration","27/508","227/15845",0.118942731277533,3.70993617537896,7.4843372003081,4.49413474876949e-09,9.50426488123509e-07,7.30020725487229e-07,"LYVE1/CCR7/CMKLR1/EDN1/AIF1/PLCB1/GAS6/GCNT1/NCKAP1L/APOD/IL6/CXCR2/KITLG/NBL1/JAM2/RARRES2/CCL2/CCL3/CCL8/BMP5/C3AR1/C5/VEGFC/PLA2G7/TNFRSF14/IL33/CD74",27
