"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","14/129","82/7875",0.170731707317073,10.4225751559841,11.0682258452179,4.20268276158617e-11,9.70819717926405e-09,8.62655935272951e-09,"10544/11326/1675/2/2162/3689/5265/629/712/713/717/719/7448/7450",14
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","12/129","82/7875",0.146341463414634,8.93363584798639,9.31924361287403,6.98198183733065e-09,8.0641890221169e-07,7.16571820147093e-07,"1672/1675/2213/2357/3109/3122/3689/629/712/713/717/719",12
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","12/129","151/7875",0.0794701986754967,4.85137840751579,6.16648027126352,6.06335039738455e-06,0.00046687798059861,0.000414860816663153,"3106/3109/3122/3134/3384/3689/4897/57863/58494/920/942/947",12
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","13/129","220/7875",0.0590909090909091,3.60729386892178,5.0615384502907,5.95020527155145e-05,0.00343624354432096,0.0030533948104014,"1536/1675/2162/51284/629/6347/7113/712/713/717/719/7450/834",13
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","7/129","73/7875",0.0958904109589041,5.85377508760752,5.37640429562654,0.000178485700795368,0.008246039376746,0.00732730771686247,"23643/3689/712/713/717/834/929",7
"Human Diseases","Immune disease","hsa05330","Allograft rejection","5/129","36/7875",0.138888888888889,8.47868217054264,5.80363123172614,0.000273737387597598,0.0103088847729323,0.00916032139768418,"3106/3109/3122/3134/942",5
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","5/129","37/7875",0.135135135135135,8.24952859836581,5.70376749579941,0.000312390447664614,0.0103088847729323,0.00916032139768418,"3106/3109/3122/3134/942",5
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","5/129","42/7875",0.119047619047619,7.26744186046512,5.25538709061935,0.000571031959274762,0.0164885478240587,0.0146514779024445,"3106/3109/3122/3134/942",5
"Cellular Processes","Transport and catabolism","hsa04145","Phagocytosis","12/129","245/7875",0.0489795918367347,2.99003322259136,4.08352213499361,0.000652651392644691,0.0167513857445471,0.0148850317620719,"10381/1520/1536/2213/3106/3109/3122/3134/3689/8547/929/948",12
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","6/129","67/7875",0.0895522388059701,5.46685178757376,4.73830329011435,0.000757615704123822,0.0168109652279602,0.0149379732032456,"3106/3109/3122/3134/3689/942",6
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","6/129","68/7875",0.0882352941176471,5.38645690834473,4.68791844820351,0.0008199357562173,0.0168109652279602,0.0149379732032456,"1520/3106/3109/3122/3134/920",6
"Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","5/129","46/7875",0.108695652173913,6.63549039433772,4.94665130146217,0.000873296894958972,0.0168109652279602,0.0149379732032456,"3106/3109/3122/3134/942",5
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","12/129","281/7875",0.0427046263345196,2.60696846809567,3.53980250886585,0.00212789329369816,0.0378110269880212,0.0335983151636552,"10673/1236/3623/3952/5473/58191/6347/653/8742/90865/920/94",12
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","7/129","114/7875",0.0614035087719298,3.7484700122399,3.81450686528663,0.00259137445836428,0.0427576785630107,0.0379938360436869,"3109/3122/712/713/717/8365/942",7
