"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","9/127","95/7878",0.0947368421052632,5.87666804807294,6.12089453622715,2.02199028860901e-05,0.00279513439023543,0.00232349097720045,"1524/2919/3569/3579/414062/6348/6355/6357/8764",9
"Cellular Processes","Transport and catabolism","hsa04145","Phagocytosis","14/127","246/7878",0.0569105691056911,3.53024774342232,5.16077391404416,3.85870913354159e-05,0.00279513439023543,0.00232349097720045,"1667/1668/213/2209/2212/249/3105/3684/4069/6850/7096/7099/728358/91937",14
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","12/127","187/7878",0.0641711229946524,3.98063076340056,5.2800859475404,4.46392685387213e-05,0.00279513439023543,0.00232349097720045,"1524/1794/196883/2919/3055/3579/414062/5579/6348/6355/6357/7454",12
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","8/127","82/7878",0.0975609756097561,6.05185327443826,5.88606636178285,4.79851397465311e-05,0.00279513439023543,0.00232349097720045,"1667/1668/2209/2212/3684/714/727/728358",8
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","10/127","144/7878",0.0694444444444444,4.30774278215223,5.12760198963624,0.000102808670501447,0.00479088404536741,0.00398248323626656,"10161/185/1902/196883/255189/3579/4254/56034/57121/6850",10
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","12/127","220/7878",0.0545454545454545,3.38353614889048,4.58964206225215,0.000211447265247347,0.00821120213377198,0.00682566610623015,"1839/185/2212/340061/3569/51311/5579/6850/7099/714/727/730",12
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","10/127","169/7878",0.0591715976331361,3.67050272562084,4.49201057298432,0.00038094701793176,0.0126800935968715,0.0105404889172096,"2209/2212/3684/51311/5579/6850/7099/727/8367/92815",10
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","8/127","114/7878",0.0701754385964912,4.35308744301699,4.61591663103843,0.000482002105255638,0.0140383113155705,0.0116695246535576,"2209/2212/714/727/730/8367/92815/940",8
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagosome formation","7/127","93/7878",0.0752688172043011,4.66903733807468,4.55583211793043,0.000719935289091718,0.0186383247064856,0.0154933442330849,"2209/2212/255189/3055/5579/6850/7454",7
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","6/127","73/7878",0.0821917808219178,5.09847912846511,4.50299141430383,0.00109802176556298,0.0234810102670365,0.0195188881370441,"3569/3684/7099/714/725/727",6
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","7/127","100/7878",0.07,4.34220472440945,4.30529082998962,0.00110854554908756,0.0234810102670365,0.0195188881370441,"2769/2919/3569/3684/5579/7099/284217",7
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","5/127","55/7878",0.0909090909090909,5.63922691481747,4.41920053760373,0.00183675392972677,0.0356636388021948,0.0296458529008532,"2919/3310/3569/3684/7099",5
"Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","5/127","58/7878",0.0862068965517241,5.34754276405105,4.25361224572003,0.00232817323932387,0.0417280280586509,0.0346869535251491,"127281/247/255189/6916/8644",5
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","8/127","151/7878",0.0529801324503311,3.28643687750952,3.6311621970657,0.00296316408669029,0.0475351376476818,0.0395141871568712,"1013/1365/3105/3684/5175/5789/9071/940",8
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","6/127","90/7878",0.0666666666666667,4.13543307086614,3.82921042669885,0.00321628927006588,0.0475351376476818,0.0395141871568712,"2919/3569/414062/6348/7099/940",6
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","9/127","188/7878",0.0478723404255319,2.9695928966326,3.49861085117073,0.00326421546078501,0.0475351376476818,0.0395141871568712,"1667/1668/2209/3569/3684/6688/7102/728358/8842",9
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","9/127","190/7878",0.0473684210526316,2.93833402403647,3.46180138238824,0.00350241521056112,0.0480036908271024,0.0399036779407582,"1365/1902/2212/3071/3569/4629/57121/7099/9071",9
