"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","22/253","82/7875",0.268292682926829,8.35100742311771,12.1905961155454,5.20705136849858e-15,6.76916677904816e-13,5.59072883775637e-13,"10544/11326/1675/2/2152/2162/3426/3684/3689/5265/629/712/713/714/715/717/719/725/727/730/7448/7450",22
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","22/253","82/7875",0.268292682926829,8.35100742311771,12.1905961155454,5.20705136849858e-15,6.76916677904816e-13,5.59072883775637e-13,"1667/1668/1672/1675/2209/2212/2213/2357/3109/3122/3426/3684/3689/629/712/713/714/715/717/719/727/728358",22
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","14/253","73/7875",0.191780821917808,5.96946234230332,7.77125848598971,5.92743270695054e-08,3.47754373204304e-06,2.87214138193028e-06,"23643/3569/3684/3689/7099/712/713/714/715/717/725/727/834/929",14
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","20/253","151/7875",0.132450331125828,4.12271287595215,7.05867016292133,6.30132798672753e-08,3.47754373204304e-06,2.87214138193028e-06,"1013/1365/3105/3106/3109/3122/3134/3384/3684/3689/4897/5175/57863/5789/58494/9071/920/940/942/947",20
"Cellular Processes","Transport and catabolism","hsa04145","Phagocytosis","26/253","245/7875",0.106122448979592,3.30321852060982,6.67235909009817,6.68758410008277e-08,3.47754373204304e-06,2.87214138193028e-06,"10381/1520/1536/1667/1668/213/2209/2212/2213/249/3105/3106/3109/3122/3134/347733/3684/3689/4069/6850/7096/7099/728358/8547/929/948",26
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","17/253","114/7875",0.149122807017544,4.64166840024964,7.1353860538612,1.10526257827354e-07,4.78947117251868e-06,3.95567659592636e-06,"2209/2212/3109/3122/712/713/714/715/717/727/730/8339/8365/8367/92815/940/942",17
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","24/253","220/7875",0.109090909090909,3.39561624146604,6.56567657036322,1.30962817022206e-07,4.86433320368194e-06,4.01750596579399e-06,"1536/1675/185/2162/2212/340061/3569/51284/51311/629/6347/6850/7099/7113/712/713/714/715/717/719/727/730/7450/834",24
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","13/253","94/7875",0.138297872340426,4.30472626356068,5.87225903338944,8.4478574469397e-06,0.00027455536702554,0.000226758278838908,"2209/3109/3122/3569/3684/4254/920/929/945/947/948/951/960",13
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","8/253","37/7875",0.216216216216216,6.73005020831108,6.36473246798269,1.7473098895643e-05,0.000504778412540798,0.000416902008738149,"3105/3106/3109/3122/3134/3569/940/942",8
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","12/253","90/7875",0.133333333333333,4.1501976284585,5.47587139801303,2.74951377345158e-05,0.000659656362155287,0.000544817400322586,"10673/2919/3109/3122/3569/3689/414062/6347/6348/7099/940/942",12
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","17/253","169/7875",0.100591715976331,3.13106625815656,5.1021038762418,2.79085383988775e-05,0.000659656362155287,0.000544817400322586,"1536/2209/2212/2357/3684/3689/51284/51311/6850/7099/727/7450/8339/834/8365/8367/92815",17
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","18/253","188/7875",0.0957446808510638,2.98019510554201,5.00647394613062,3.16425590636091e-05,0.00068558877971153,0.000566235267454057,"1667/1668/2209/2313/3087/3479/3569/3684/4066/4094/4613/6688/7102/7113/728358/8842/929/942",18
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","22/253","281/7875",0.0782918149466192,2.43694878539378,4.4687148879297,9.50154323655701e-05,0.0019003086473114,0.00156948568441913,"10673/1236/2919/3569/3623/392255/3952/414062/5473/55504/58191/6347/6348/6355/6357/653/654/8742/8764/90865/920/94",22
"Human Diseases","Immune disease","hsa05330","Allograft rejection","7/253","36/7875",0.194444444444444,6.05237154150198,5.53528124384027,0.000122141101031684,0.00218008320093862,0.00180055454652421,"3105/3106/3109/3122/3134/940/942",7
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","8/253","48/7875",0.166666666666667,5.18774703557312,5.30184327023507,0.000125774030823382,0.00218008320093862,0.00180055454652421,"2532/3043/3569/3689/5175/6347/7099/948",8
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","9/253","67/7875",0.134328358208955,4.18116925255147,4.76406599256241,0.000265027004834564,0.00430668882856167,0.00355694138067442,"3105/3106/3109/3122/3134/3689/6641/940/942",9
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","9/253","68/7875",0.132352941176471,4.11968146942572,4.70702075784211,0.000297035519127302,0.00454289617488815,0.00375202761002908,"1520/3105/3106/3109/3122/3134/3310/920/972",9
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","8/253","55/7875",0.145454545454545,4.52748832195473,4.78263289355461,0.000334233500647904,0.00458257910165765,0.00378480217302899,"2919/3310/3569/3684/3689/7099/834/929",8
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","7/253","42/7875",0.166666666666667,5.18774703557312,4.95752046175555,0.000334880780505751,0.00458257910165765,0.00378480217302899,"3105/3106/3109/3122/3134/940/942",7
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","11/253","101/7875",0.108910891089109,3.39001291433491,4.40415058708893,0.000372775984245488,0.00484608779519134,0.00400243688347787,"23643/3569/414062/51284/51311/6348/6696/7096/7099/929/942",11
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","15/253","172/7875",0.0872093023255814,2.71451879768361,4.14190390862506,0.0004055990770128,0.00502170285825371,0.00414747928373991,"1520/2207/2209/2212/2213/3109/3122/3569/3684/3689/6850/7096/7099/929/972",15
"Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","8/253","58/7875",0.137931034482759,4.29330789150879,4.5861659884012,0.000484251285828283,0.00572296974160699,0.00472666326837176,"127281/27306/5320/5322/5730/6916/8399/8644",8
"Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","7/253","45/7875",0.155555555555556,4.84189723320158,4.70863051934014,0.000518913418762195,0.00586597777731177,0.00484477516830608,"10673/3109/3122/3569/5284/940/942",7
"Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","7/253","46/7875",0.152173913043478,4.7366385976972,4.63052633457029,0.000595550015605972,0.00645179183573136,0.00532860540279027,"3105/3106/3109/3122/3134/940/942",7
