"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","21/296","82/7877",0.25609756097561,6.81513678312459,10.4590987154867,1.35286516067804e-12,3.95036626917989e-10,3.18991364201981e-10,"1667/1668/1675/192666/2209/2212/2213/2357/3109/3113/3122/3684/3689/629/712/713/714/717/719/727/728358",21
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","20/296","82/7877",0.24390243902439,6.49060646011866,9.87539882826509,1.25809035305255e-11,1.83681191545672e-09,1.48322231096721e-09,"10544/11326/1675/2/2152/2162/3684/3689/5265/629/712/713/714/717/719/725/727/730/7448/7450",20
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","22/296","151/7877",0.145695364238411,3.87717021657419,7.05362129092349,3.93672895899522e-08,3.83174952008868e-06,3.09413083092957e-06,"1013/1365/23705/3105/3106/3109/3113/3122/3134/3384/3684/3689/4897/5175/57863/5789/58494/9071/920/940/942/947",22
"Cellular Processes","Transport and catabolism","hsa04145","Phagocytosis","28/296","246/7877",0.113821138211382,3.02894968138871,6.38827442676184,1.30247433722323e-07,9.50806266172961e-06,7.67774346152643e-06,"10381/1520/1536/1667/1668/213/2209/2212/2213/249/3105/3106/3109/3113/3122/3134/3684/3689/4069/4688/6850/7096/7099/728358/8547/91937/929/948",28
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","25/296","220/7877",0.113636363636364,3.02403255528256,6.01637601720769,6.54572191804174e-07,3.82270160013637e-05,3.08682465187652e-05,"1536/1675/1839/185/2162/2212/340061/3569/51284/51311/5579/629/6347/6850/7099/7113/712/713/714/717/719/727/730/7450/834",25
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","17/296","114/7877",0.149122807017544,3.9683795637743,6.30801222746554,1.02996533196709e-06,5.01249794890651e-05,4.04758305895839e-05,"2209/2212/3109/3113/3122/712/713/714/717/727/730/8339/8365/8367/92815/940/942",17
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","13/296","73/7877",0.178082191780822,4.73903184005924,6.34157924902334,2.59751717401078e-06,0.00010835357354445,8.74953153351001e-05,"23643/3569/3684/3689/7099/712/713/714/717/725/727/834/929",13
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","20/296","169/7877",0.118343195266272,3.14928834159603,5.58087947033293,4.79597558795869e-06,0.000175053108960492,0.000141355069960888,"1536/2209/2212/23236/2357/3684/3689/4688/51284/51311/5579/6850/7099/727/7450/8339/834/8365/8367/92815",20
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","14/296","90/7877",0.155555555555556,4.13956456456456,5.91890060472464,5.66396890721065e-06,0.000183764324545057,0.000148389360843881,"10673/2919/3109/3113/3122/3569/3689/414062/6347/6348/7043/7099/940/942",14
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","9/296","37/7877",0.243243243243243,6.47306428049671,6.59339114558203,6.50605932555047e-06,0.000189976932306074,0.000153406030412979,"3105/3106/3109/3113/3122/3134/3569/940/942",9
