"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","10/127","82/7875",0.121951219512195,7.56193585557903,7.64700419609629,6.67908928703413e-07,0.000144936237528641,0.000126551165438541,"1667/1668/2209/2212/3426/3684/714/715/727/728358",10
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","10/127","114/7875",0.087719298245614,5.43928719436386,6.11239744798114,1.37492891136446e-05,0.00149179786883044,0.00130256423181897,"2209/2212/714/715/727/730/8339/8367/92815/940",10
"Cellular Processes","Transport and catabolism","hsa04145","Phagocytosis","14/127","245/7875",0.0571428571428571,3.54330708661417,5.17755038936964,3.70433403235659e-05,0.00208811468522852,0.00182323862886798,"1667/1668/213/2209/2212/249/3105/347733/3684/4069/6850/7096/7099/728358",14
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","12/127","188/7875",0.0638297872340425,3.95794940526051,5.25528151209439,4.7209246868896e-05,0.00208811468522852,0.00182323862886798,"1667/1668/2209/3087/3569/3684/4066/4613/6688/7102/728358/8842",12
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","8/127","82/7875",0.0975609756097561,6.04954868446322,5.8845317644568,4.81132415951271e-05,0.00208811468522852,0.00182323862886798,"2152/3426/3684/714/715/725/727/730",8
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","7/127","73/7875",0.0958904109589041,5.94596052205803,5.43517913490529,0.000161932691289186,0.00585656566829223,0.00511366393544798,"3569/3684/7099/714/715/725/727",7
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","10/127","169/7875",0.0591715976331361,3.66910497134604,4.49054718169541,0.000382085049668234,0.0118446365397153,0.0103421517203432,"2209/2212/3684/51311/6850/7099/727/8339/8367/92815",10
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","7/127","94/7875",0.074468085106383,4.6176076394706,4.5172324673437,0.000769309041909511,0.0177841563512047,0.0155282471172294,"2209/3569/3684/4254/945/951/960",7
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","11/127","220/7875",0.05,3.1003937007874,4.04523922457462,0.000815604858805487,0.0177841563512047,0.0155282471172294,"185/2212/340061/3569/51311/6850/7099/714/715/727/730",11
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","7/127","95/7875",0.0736842105263158,4.56900124326564,4.48046885816371,0.000819546375631551,0.0177841563512047,0.0155282471172294,"2919/3569/414062/6348/6355/6357/8764",7
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","7/127","101/7875",0.0693069306930693,4.29757542683402,4.27009872988042,0.00117797830599371,0.0232382993091487,0.0202905354142458,"3569/414062/51311/6348/6696/7096/7099",7
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","5/127","55/7875",0.0909090909090909,5.63707945597709,4.41801580781182,0.00183980398626908,0.0332697887516991,0.0290495366253012,"2919/3310/3569/3684/7099",5
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","8/127","151/7875",0.0529801324503311,3.28518537831778,3.62989060976975,0.00297003315775792,0.0490438534586866,0.0428226709801774,"1013/1365/3105/3684/5175/5789/9071/940",8
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","6/127","90/7875",0.0666666666666667,4.13385826771654,3.82803638525135,0.00322229585489148,0.0490438534586866,0.0428226709801774,"2919/3569/414062/6348/7099/940",6
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","9/127","189/7875",0.0476190476190476,2.95275590551181,3.47883180214535,0.00339012811926405,0.0490438534586866,0.0428226709801774,"1365/2212/3071/347733/3569/4629/57121/7099/9071",9
