"","none_combat","none_combat_ref","softimpute_combat","softimpute_combat_ref"
"none_combat",224,222,223,220
"none_combat_ref",222,225,223,223
"softimpute_combat",223,223,491,477
"softimpute_combat_ref",220,223,477,486
