GSM2668701	GSM2668702	GSM2668703	GSM2668704	GSM2668705	GSM2668706	GSM2668707	GSM2668708	GSM2668709	GSM2668710	GSM2668711	GSM2668712	GSM2668713	GSM2668714	GSM2668715	GSM2668716	GSM2668717	GSM2668718	GSM2668719	GSM2668720	GSM2668721	GSM2668722	GSM2668723	GSM2668724	GSM2668725	GSM2668726	GSM2668727	GSM2668728	GSM2668729	GSM2668730	GSM2668731	GSM2668732	GSM2668733	GSM2668734	GSM2668735	GSM2668736	GSM2668737	GSM2668738	GSM2668739	GSM2668740	GSM2668741	GSM2668742	GSM2668743	GSM2668744	GSM2668745	GSM2668746	GSM2668747	GSM2668748	GSM2668749	GSM3461184	GSM3461185	GSM3461186	GSM3461187	GSM707051	GSM707052	GSM707053	GSM707054	GSM707055	GSM707056	GSM707057	GSM707058	GSM707059	GSM707060	GSM707061	GSM707062	GSM707063	GSM707064	GSM707065	GSM707066	GSM929667	GSM929668	GSM929669	GSM929670	GSM2453819	GSM2453820	GSM2453821	GSM2453822	GSM2453823	GSM2453824	GSM2453825	GSM2453826	GSM2453827	GSM2453828	GSM2453829	GSM2453830	GSM2453831	GSM2453832	GSM2453833	GSM2453834	GSM2453835	GSM2453836	GSM2453837	GSM2453838	GSM2453839	GSM2453840	GSM2453841	GSM2453842	GSM2453843	GSM2453844	GSM2453845	GSM2453846	GSM2453847	GSM2453848	GSM2453849	GSM2453850	GSM2453851	GSM2453852	GSM2453853	GSM2453854	GSM252349	GSM252350	GSM252351	GSM252352	GSM252353	GSM252354	GSM252355	GSM252356
10	7.2877312669446	7.00790275447212	6.79835849795916	7.80866540044324	7.91281572885544	6.82375955454833	7.18229822065337	7.3644514008222	8.12554549548062	7.26187607793007	7.6145241943284	7.84629750028774	7.50803797336986	7.37971814311679	7.43462801941416	6.85095937127708	7.26368466728849	6.89762871940811	8.68045377829698	7.25802939226479	6.84968614078121	6.94419885568524	7.43115611060807	7.33283860128267	7.81006013064617	7.36808782072492	6.60920413287248	7.03648068730125	6.93554218741638	6.8224518906177	7.40208637260609	7.00459707731344	6.62453078784382	7.08472569114267	6.55675777028535	6.72002280826756	7.28487961683582	6.53259356365131	7.04491028594331	6.48790158614041	6.57066840432245	6.95193018267233	6.96630072289764	6.91885045510479	6.65760751964266	6.60483549012462	7.01138291987662	6.61217543677361	6.67083663810349	6.90769385050244	7.11866501359945	6.92309679594701	7.93713257420712	6.79642184451391	7.06478655854822	7.31929497765575	7.60440094459648	7.46882578313228	6.74009001982036	7.64778548683977	7.08567228207323	6.36152343877549	6.1575736932877	7.22318764343815	6.82324620994321	6.99230562413221	6.70832113908978	7.43082882005591	7.02503284516895	7.17652657811834	6.5415216227177	6.24938622014607	6.58045817344114	7.22892325126206	7.1193265352683	6.92263706173644	6.81904228669936	7.47098194061338	7.51901611046227	7.32536092060616	7.10273647432861	7.32147114571227	6.70163831645471	6.9577658953012	7.10897607532025	7.12659827031564	7.26718416200508	7.54432318000123	7.52132101201609	7.15181274321869	6.96401814402349	7.98576311675387	6.88055864887362	7.09446228705083	7.0028493070087	7.48197924044937	6.72575156557006	6.92421901954851	6.94026276729416	7.02622038060974	7.35229194785639	7.18182398818775	7.55761737048212	7.53050972162034	7.99442456203774	7.05951953175899	7.12198499831989	6.95821040581168	6.80949044207269	7.31927767510445	6.94271676020582	6.65805761918343	7.0416408536864	7.28015630056573	6.87016737065669	6.86782085718589	7.06566161984924
100	9.88151654668886	9.3715507010326	11.0435070606399	8.70202031135781	9.69102385003493	10.8873135775719	9.11758582722119	9.35459936339572	8.80743066025453	9.7507499036738	9.44707229387273	10.0774227810321	8.76463210017228	8.73914759752441	8.65510967666697	9.43448333193698	8.45086275323292	8.3275441922113	7.98992709924996	8.67329272572012	10.5123637073769	9.14741902632797	9.31805678489159	9.2755891418771	8.4370176141348	8.56588164215104	8.58641076818172	8.29745404336846	7.53883234037478	9.07972266444561	8.39513906487861	7.72973610935162	8.48241486792543	7.46826597274872	8.58710066091503	9.25740200879051	8.60934378113691	9.65757838576912	9.50638173352192	8.004176126158	7.84605023777912	8.17319198272861	7.83419583897139	8.65167130722501	8.20201449853417	8.17159776551671	8.89327286321618	9.01004016572862	7.08315981805729	8.49117618561029	8.75607864652823	9.43139592270618	9.55162454448118	8.76546608484925	8.51175905086627	8.57973320269441	8.3001914071535	9.22913791068119	9.04850503745225	8.27412182735484	9.44862627483328	8.90776826758136	8.50422077646807	7.89698049893128	8.37128165548531	9.12777047905232	8.61788183038474	8.36744417109431	8.42057453167059	7.50280916009847	7.50281058926175	8.70588085208959	7.442112791314	8.73972013083482	9.92296190063759	9.92291050016012	9.49840217989041	9.13990064758717	8.25687614916112	10.0394930673824	9.84746989951117	9.60615483079372	10.8006187963508	8.91388287429901	10.3792966040057	9.38831112708576	8.16542318679933	8.8496788431371	8.16321348728667	8.23915131759029	8.42295767121229	8.79087807188094	9.36456140194076	10.2439766088085	9.07858315402947	8.52270144514997	10.4048307100749	7.74384947101968	7.94191465531164	8.77427396272593	8.59122788019308	8.60152744868858	7.71523170424929	8.63441956977857	8.7049896076063	8.64861138085693	8.97825127761486	9.06858968133061	8.0056442999865	8.35280580551839	8.41515929476769	8.35142388872305	8.99597455991459	8.60216658098474	8.55999637709731	9.25047173469359	8.18653173426929
10000	7.26241716230407	8.34245810515269	7.3599625761681	8.25573433025658	7.74683615511442	7.74042036233014	8.13201435892965	7.63611306721641	8.65508365383747	8.12820882347797	8.11765872802156	7.8082659957703	8.08481585463224	8.41334793325439	7.67046932626376	7.27564770064013	8.1537731580937	8.3403125403888	8.53069647197107	7.8201940968574	8.05748151259112	7.5391967125161	8.09043949886668	8.08416664008699	7.90235672765388	8.00463001669577	7.36753973626671	7.72161310618572	7.90701662180753	8.13233605730045	7.74983133839812	7.22454611588187	8.03703658961194	7.58843803081414	7.85204006351916	7.94629548396003	8.12952515783723	7.25233922865367	7.11420801162623	7.61875306326132	7.51485509716816	7.92105286140865	7.58367763033766	7.7365693384466	6.96078093667304	7.13236163016544	7.89887591237471	6.96090620054852	7.6911589856343	7.57119751286043	8.08375870881488	7.87023880629762	8.02775553949909	8.00033528444545	7.6281126556426	8.01218234802067	8.01212100954667	7.77760674170883	8.26956602171251	7.57289615379668	7.55124645974058	7.72920989640735	7.5874748983472	8.07952402427033	7.54008144809711	7.69134882285854	7.28678155009225	7.92996917808934	7.70249047733616	7.80945948026959	7.49942938741369	7.4655684718556	7.37073476760852	8.0076729625582	8.02607431563944	7.96488777539084	8.00556016983191	8.17856103214838	7.84436139040471	7.78962732483081	7.59728521664277	7.97951186372441	7.71453287162352	8.08597181968508	8.17379523450059	8.35576476178515	7.94628389084117	8.16997294472275	8.02184527475916	7.25929718794162	8.2288361272342	8.29824790065647	7.2381196433468	8.37884528957627	6.72387916140329	8.21010117684198	8.06967878002336	7.83892043740718	7.48058227703175	7.30877139291549	6.99730948284734	8.13405524044392	7.92784066771318	7.95372911705712	8.3679729073141	8.069833200518	7.40081450687195	8.18899994556977	7.45181703707755	7.68396064309083	7.60246999112476	7.70620227060815	7.65878667878579	7.56668940802992	7.72021241604633	8.0141000393864	7.79864968683168
10001	9.91910679037398	9.76782838961038	9.84200377033165	9.8151802182448	10.3101635219271	9.69616935296059	9.76658567587263	9.76157741689322	9.76523563117937	9.46172596236535	9.95512047810463	9.85090320756318	10.0893954251336	9.90317713630429	9.81159485234037	9.56990845588694	9.54360385150448	9.77117952244486	9.6825300308941	9.90318896819204	9.80961719354112	9.77489087744997	9.92015275414499	9.80902405689405	9.7979636077997	9.67698255567193	9.61903180431838	9.64067348410004	9.70724387117227	9.85924421911973	9.79138724246275	9.47271644444448	9.62599951127972	9.91568046631203	9.84289810188172	9.49930028461777	9.80676083786208	9.53330492594715	9.70251225163148	9.89515444954854	9.52581113721074	9.59114177356735	9.59311780404781	9.77818968636024	9.61329896846173	9.2983108892908	9.76236374261963	9.60966165546323	9.51953747577434	9.74988926481354	9.48845869544455	9.71984370927969	10.0001807083232	9.78373270871206	9.70503812916176	9.74363795132782	9.6185332787847	9.63444836151471	9.74014347525425	9.81035536428623	9.86069487056037	9.75722058868408	9.4454327372167	10.1018065785461	9.72631856565301	9.84442273713318	9.75075545379124	9.54837918668786	9.54871882948717	9.81112091892855	9.69984203236332	9.50484232648867	9.56188000898287	9.97202025590626	9.93904873228391	9.67816418304266	9.59632629838541	9.61006688737509	9.77444595927081	9.78998679038951	9.81918517998893	9.85363575774786	9.70919218169508	9.49687597474326	9.6335360388742	9.5232018720356	9.83116055967086	9.79053825254954	9.93103623078588	9.75165237564032	9.87869809308521	9.98427342453301	9.47033924517037	9.62291713488406	9.51919738361592	9.67690262765311	9.55162566408834	9.56406905072576	9.55084901708791	9.82068203904226	9.77648002005293	9.71382181616902	9.70986426878573	10.0176522456057	10.0161969809031	9.83616183812192	10.0275763104642	9.5903765455471	9.81750220535906	9.85360641738584	9.50769386214182	9.49134834356764	9.63118644099118	9.94689098909307	9.69901695532564	9.8685776513701	9.64255124976035
10005	7.65002321875469	7.8786447345171	8.00612873193375	7.75913832687065	8.06878942111127	8.05868903403242	8.35219921179178	7.95466793256018	8.17850892581924	8.18483398057105	7.58423309112156	8.25721064382589	7.92401646554839	7.65290661003675	7.69811440142485	7.55787097652456	8.38331295728385	8.38959908155039	8.06219202520837	8.00881613819113	8.42550206681729	8.28356381850265	8.66239883814406	7.57626697880849	8.27443489667946	8.31934195401591	8.15835765603323	7.74844964963946	8.53296512634313	8.27945896292902	7.91311590388081	8.3723466904203	7.38151934981067	8.1504735442625	8.41697250089503	7.87155226359172	8.13371353017835	8.18978256957623	8.17917819722271	8.20609190321231	8.06075065066386	8.00907923111385	8.32574103653913	7.98000719588355	8.22620901714798	8.49050906796648	8.09186829295351	8.09541515442467	8.03350729456462	7.87118981486034	7.94849409568554	8.36887366465123	8.09022090981348	8.16365539246571	7.98723867457384	8.08469833857839	8.31023642975902	8.11704561869845	8.30510544119347	7.69060201412765	8.3451700856438	8.46828112249297	7.90307752599299	7.89082353740074	7.98977555994914	7.72962638126585	8.36166883035712	8.38236839150755	7.97306403099043	8.30087788561884	8.23773362891975	8.04999083370076	8.21116420609106	8.10439587182825	7.93514898116424	8.2652946306879	8.16718273967717	8.43002362497804	7.6996483605733	7.8138139488507	7.89229425604193	7.98142621201175	8.09962711327043	8.22795161934096	8.06399090333443	8.32809410825231	8.24400120412255	8.29282855677141	7.94016192028923	8.28257851737225	8.01558307653401	8.06386798620138	7.85778004382047	8.20014532927862	8.15580556190991	8.3383579905671	8.03746282384319	8.17720746159658	7.7067368053978	8.35012636915991	8.04961812552489	8.08537686443596	8.27746917654196	8.14836690630362	8.59681081636761	7.86216647106924	7.57488203069047	8.18392397001003	7.12393907048616	8.28194477057207	7.43977091590247	8.30479960783656	8.24573589694358	8.20677739432812	7.95473945256694	8.31721167650287	8.16649236757338
10006	9.3643820178623	9.47785467689799	8.84645672391455	9.23692607545139	9.8110120902261	9.66466661220207	9.70749303799074	9.63855243856961	9.64331828989678	9.82956078605207	9.48944366074633	9.73907353426934	9.58922112460897	9.32764029132747	9.57055748962586	9.89009397561289	9.4739538970347	9.62680443900681	10.1748177861935	9.69300811364079	9.67950914458824	9.6032361607188	9.59184663066346	9.84450307801811	9.70424283824185	9.73465317047454	9.64005254739686	9.82821146697325	9.8973683260871	9.53027560539869	9.72197781513058	9.35696584453802	9.48974394206872	9.46991593508088	9.73941978244695	10.0219730277255	9.79329241333959	9.76650563627944	9.77225255545819	10.0132719473526	9.95246019139912	9.69705458234567	9.63459232952481	9.89519741221991	9.7268291882185	9.60219659278621	9.58273349597443	9.90719570968373	9.92412162378501	9.83750326071736	9.48369670145604	9.51542005045053	9.66417378171891	9.53022166578918	9.8001724389791	9.83091975990805	9.36306940842595	9.61531746734539	9.85049962445262	9.68949682850409	9.94917644434696	9.75662168303178	9.48318108278339	9.99769688889411	9.55631309682034	9.96911394319089	9.85623688545132	9.73497049236601	9.48518824368773	9.85918978778942	9.97749273365017	9.91382357101869	9.92328429167926	9.63873227184027	9.81115244789574	9.59307129501332	9.65390230417061	9.70786959094669	9.96748063284055	9.54874848834017	9.50990537009733	9.6306067328885	9.74489093294313	9.57344539441184	9.78822102171715	9.75626534326232	9.45691811033205	9.51318728120409	9.68198976229868	9.22355002530272	9.79580281386664	9.79366771564878	9.65603208066877	9.80899712160604	9.55487136021234	9.62717220128826	9.75881974733532	9.87581205411966	9.4382703720877	9.24431029785675	9.37960428483713	9.54796153148569	9.62528281511955	9.54877838668779	9.61011091263011	9.4441977965664	10.2745528905273	9.60261444481939	9.43406394720034	9.72845278820807	9.1587222142712	9.52785481187859	9.73159094891707	10.0281693170824	9.67346057474891	10.1444153558942	9.8777935861574
10007	9.30604570221538	8.64950624768336	9.18839153587828	9.59556344622407	9.75676878531003	9.28920529416945	9.52054195595825	9.5288129626885	9.4792052783355	9.85505824818485	9.49508612810498	9.42035102076157	9.67656396931364	9.30561041068553	9.39830087585189	9.83413089133394	9.55738397007149	9.85252226459345	9.42679540747171	9.88485148293916	9.7535466839815	10.0136683094635	9.91221687300185	9.68959531082022	9.81733108703195	9.48849643528244	9.83731773031092	10.0979977144386	9.8979624548115	9.67845620302073	9.66547896071531	9.82935877002105	9.97924331837629	9.74401771257014	10.2961120222634	9.93855992510178	9.39837193059521	9.55791186408768	9.79922573355365	10.1725716246942	9.77975021500499	9.81002712711142	9.93536112234167	9.7703742885471	9.84541386550372	9.72453098139853	9.82258906386619	10.0524812830879	9.89446268218272	9.82631254946516	9.25130013122868	9.98821633403044	9.46036921067193	9.68833461417281	10.1419083566406	9.75925009679124	9.66130612698778	10.0710692224313	9.55515402998649	9.73732245201515	9.75574299422429	9.71866476072071	9.72754854668156	10.1496826212845	9.63095742258116	9.62845732188967	9.88411562936834	9.96089301118496	9.27144766016122	9.70232991569976	10.1036344473383	10.0587661572727	10.4452959493246	9.32541772369752	9.80378306707623	9.97202940302607	9.68618015841619	9.55199098583101	9.16549917673639	9.5750988396556	9.75382729133936	9.77106675013077	9.51061642394188	9.42015087628602	9.73870258964	9.64750858529758	9.65876365866514	9.58778035496416	9.54683680712263	9.99099615834827	9.38196374309314	9.85641139533317	9.27406836292051	9.86101174755419	9.9779021761487	9.74421790573806	9.72630974957801	9.79982239677943	9.61886733459372	10.0131128490054	10.1058604699212	9.2923686716611	9.69734418813868	9.43489651664298	9.49178381337035	9.64044658693084	9.73761435208498	9.53811348042201	9.27546346215786	9.86721130087277	9.46408011022507	9.63082912307483	9.63816870316881	10.2635686148643	9.50804407089149	9.69631417543804	10.2252259220797
1001	9.23636052121583	9.82410658425635	9.77325224708531	9.9721937406636	9.4989174467746	8.60059150489681	9.70190813266039	9.46783875987581	8.15971292943691	9.54797975093368	9.21663549199482	9.69645214485312	9.48502474166024	9.31650828064205	9.27140504069803	10.0023049192889	8.64882464498832	9.28417683060828	8.44368870135059	9.50514498553618	9.34794722801166	9.02704467963349	9.91088082541444	8.76095295357005	7.77488554802105	8.75731377154047	8.21866770833135	8.29016813093868	9.33295426529122	8.70686398535933	9.04862616332186	8.36210873788762	8.53000952576187	9.41225031084126	8.60323777498588	9.31188374924144	8.95973599698472	9.1596428303125	7.85871240967421	9.32275709379087	8.56136358830465	8.92701179095031	9.17775937973551	9.18841566346915	8.74742535035208	8.9584221159016	9.2755848000332	9.73609336951647	8.51864988620185	9.72699044499899	8.77664129295579	9.21974930778012	8.9335848953556	8.90073196652971	8.47921983859051	9.2729546471387	9.65444687974741	8.82035580976398	8.2583272246612	7.5870486355227	9.25360752414659	9.41279843105721	9.4758883753459	8.96608905606253	8.82039647683319	9.22649597389454	9.3832872106736	8.97118520606986	9.68352972772769	8.18626492460841	8.71352501015236	8.90755647127603	9.04858735805548	9.50493871580989	9.04154177980958	9.60644258940764	9.32662071672561	9.01263710353605	9.51633266690656	8.94944789921172	9.35162993814753	8.5390130421196	9.06230790786627	9.75993592828028	9.0773681839462	9.27027230755128	9.63812134991603	9.07861198020327	9.42876846374156	9.73010722871821	9.25212643034808	9.04154692944145	9.81833069598033	9.13060870741132	7.34120733511145	9.15850263249692	8.99520902903494	9.93322964143018	9.11265758264225	8.54362822576012	8.26265770684233	9.49796395111606	9.33459175007771	8.77477020155296	8.86441830001808	9.37202920371008	7.60207190815295	9.38469643119538	9.54216375279627	8.82784732556182	9.02524656452255	8.92070770597025	8.9433055239386	8.74323480588657	8.73969618953046	9.70584165641129	8.95300245626437
10010	9.89885623676528	10.0084996083716	9.85966774191372	9.73822819511603	9.68473100145235	10.0279030858019	10.3412674462531	9.56385203419961	10.2662089436726	10.4114693557406	10.4383963026476	10.2903735420434	10.1319026290236	10.0728894892547	10.5627330486382	10.2428060598758	10.5579017583507	10.3851918870861	10.3561263838007	10.0203084854407	10.1931872455501	10.168166007944	10.554524840558	10.5702381750655	10.4246186697903	10.2463712581897	10.237798374293	10.405615918334	10.7530311502009	10.07236416174	10.1977219848083	10.3227732581517	10.7206632658061	9.65408690424192	10.0993528468781	10.2985560356721	10.2461908283771	10.1986064437538	10.0153652640575	10.210191292925	10.5253523450349	10.31717058361	10.2386881839818	10.068200431106	10.1940860195004	9.74126594865941	10.3209334837157	9.91601984016337	10.4549284657938	10.4020756973269	10.4463150547134	9.86875776661414	10.0452083935918	10.3150677077673	10.3860991627903	10.2954661822852	9.9434114415623	10.4894107636152	10.196266090725	10.3601303427126	10.3050432200608	10.044637313954	9.93001664933997	10.7243355718014	10.2722629270395	9.97719630456873	10.3969720616287	10.5262933071598	9.68900224224781	10.7116451615625	10.2424275012273	10.2765636582789	10.1984322471392	10.0674600780673	10.0277337792463	9.9543635222697	10.2495182950312	10.4862360303138	10.946976956357	10.1086963856248	10.0447496227175	10.0762949613226	10.0738897779251	10.2835800246528	10.3660385003224	10.3867392089167	10.293836213574	10.5080457874073	10.2908638152334	9.61043330530419	10.2822716843922	10.1222395014301	10.1818324972834	10.0729878374157	9.66353322538506	10.4368265955415	10.0261126110013	10.0939988426339	10.4849826118695	9.68787238747085	9.82746097538889	10.3439499430435	10.3588057817325	10.5120879754485	9.9627624319784	10.1582860338043	10.3162952419377	10.2171837144755	10.3675920758587	10.1263252162491	9.78816046241252	10.045187822621	10.2573550859505	10.6887131161746	10.1806310981525	10.6649552566266	10.1755796655264
10013	8.38434238250904	8.26172488311989	8.80012965403272	7.98582133049665	7.97081158567719	7.99869402292848	8.21011913476371	8.31228619073673	8.30797557609848	8.08649667683812	8.20806860944803	8.50094024457962	8.21910688048837	7.81087405505411	8.22326172363553	8.3197867579689	8.58841202080955	8.27715072848356	8.38886306004399	7.79128282834768	8.64496993338857	8.47655851700332	8.65573532765259	8.12434797180352	8.75399803183459	8.69523119959485	8.46153110738541	8.7357350152158	8.35239963789986	8.67582343817895	8.10738715138849	8.85731839505405	8.32733260685286	8.71468409543808	8.43770214066888	8.37637237255897	8.11019054434819	8.45677674229503	8.64985811647047	8.32649477982894	8.9922542646658	8.58476988911468	8.70632642563319	8.00024186844605	8.60710912060321	8.86233791972589	7.65321250000579	8.8324648340261	8.22429994718201	8.23132006302424	8.30308747431759	8.22521584273092	8.64793390805685	8.46768751111377	8.09708271339638	8.3359294742659	8.28325203995362	8.02883202999708	7.78436417219566	8.3207744930033	8.16512524528764	9.02991963853962	8.48623932262602	8.08536087607986	8.86528259519985	8.96507752067051	8.31339087305798	8.7836422590698	8.6092096770616	8.29066205639225	8.64964812581207	8.76129140071858	8.51775697735944	8.20287650138213	8.23738192581179	8.47054145025599	8.39880364629547	8.51124741909057	7.93070249873527	7.99780432452663	7.92349302084573	8.29837138010125	8.28346677640805	8.60312356583434	8.44280291063789	8.51997302945939	8.14659093810119	8.29629970784613	7.872116495012	8.82871537785001	8.29160615212223	7.90135579605551	8.53451001335437	8.64643061114263	9.07448310411596	8.29316735055266	8.59018558677507	8.68898177945483	8.47183579976744	8.90870418091727	8.94091841614019	8.30578935374069	8.26322714463692	8.09094046397348	8.09864981269985	8.41689127115156	8.24837620471204	8.43698388017309	7.99439562118055	8.64792976308014	8.74842958879754	8.22006157337873	8.36479996842793	8.38055358254066	8.38394166007084	8.18996343796938	8.51550072651108
