"gene","n_datasets_with_gene","non_imputed_First.trimester","non_imputed_Second.trimester","in_both_groups"
"11262",5,86,15,TRUE
"112703",5,86,15,TRUE
"11272",2,78,7,TRUE
"112755",4,50,15,TRUE
"11280",4,50,15,TRUE
"112812",5,86,15,TRUE
"112939",5,86,15,TRUE
"112970",3,94,7,TRUE
"11314",5,66,15,TRUE
"113201",5,86,15,TRUE
"113230",5,86,15,TRUE
"113235",5,86,15,TRUE
"113263",5,86,15,TRUE
"11330",5,66,15,TRUE
"113457",2,78,7,TRUE
"1135",4,50,15,TRUE
"113612",4,50,15,TRUE
"113622",5,86,15,TRUE
"113675",5,86,15,TRUE
"1138",4,50,15,TRUE
"113802",5,86,15,TRUE
"113828",5,86,15,TRUE
"114088",4,50,15,TRUE
"114335",1,42,7,TRUE
"114336",2,78,7,TRUE
"114548",4,50,15,TRUE
"114625",5,66,15,TRUE
"114757",4,50,15,TRUE
"114784",5,66,15,TRUE
"114790",5,86,15,TRUE
"114791",5,86,15,TRUE
"114799",5,86,15,TRUE
"114800",4,50,15,TRUE
"114801",4,50,15,TRUE
"114818",5,86,15,TRUE
"114825",5,86,15,TRUE
"114826",5,86,15,TRUE
"114836",4,50,15,TRUE
"114879",5,86,15,TRUE
"114881",5,66,15,TRUE
"114902",3,94,7,TRUE
"114904",5,86,15,TRUE
"114928",3,94,7,TRUE
"114971",5,86,15,TRUE
"114991",4,50,15,TRUE
"115361",5,86,15,TRUE
"115572",5,66,15,TRUE
"115749",5,86,15,TRUE
"1159",2,58,7,TRUE
"115992",5,66,15,TRUE
"116064",5,86,15,TRUE
"116068",5,86,15,TRUE
"116150",3,94,7,TRUE
"116159",5,66,15,TRUE
"1163",3,94,7,TRUE
"116372",4,50,15,TRUE
"116412",4,50,15,TRUE
"116535",5,86,15,TRUE
"116541",5,86,15,TRUE
"116842",4,50,15,TRUE
"116844",5,86,15,TRUE
"116931",5,86,15,TRUE
"116984",4,50,15,TRUE
"117178",5,66,15,TRUE
"117247",5,66,15,TRUE
"117248",5,66,15,TRUE
"1176",3,94,7,TRUE
"1181",4,50,15,TRUE
"1184",5,86,15,TRUE
"118460",5,86,15,TRUE
"118490",4,50,15,TRUE
"118611",5,86,15,TRUE
"118663",5,86,15,TRUE
"1187",1,42,7,TRUE
"118932",4,50,15,TRUE
"1193",4,50,15,TRUE
"119391",5,86,15,TRUE
"119392",5,86,15,TRUE
"119395",5,86,15,TRUE
"12",4,50,15,TRUE
"120227",4,50,15,TRUE
"120526",5,86,15,TRUE
"120939",5,66,15,TRUE
"121274",5,66,15,TRUE
"121355",5,86,15,TRUE
"122060",5,86,15,TRUE
