gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
10019	1.12295845189653	8.46784941057222	7.62553939624983	4.36142444519433e-11	2.08907464340715e-09	14.9850264872681
10068	1.09620586121638	7.58432371990848	6.63213319769723	1.10120890427114e-09	3.01174622477026e-08	11.7527814890461
1013	1.05946806014773	5.48043219717378	6.18930222039019	2.43536481897681e-08	4.16124567655774e-07	8.84392012370736
10161	1.13026605645803	8.07568509559774	7.05571298893991	5.5441437282835e-10	1.71838970572093e-08	12.5133197158117
10166	-1.06185077920852	9.06304924410201	-6.37070882081123	3.93466499749465e-09	8.7870843402648e-08	10.5185685723313
10194	1.15796157876665	8.7453180998063	7.93906044745253	1.43873313915733e-12	1.35604465927781e-10	18.2080277700256
10202	2.2228893599718	7.1778480469235	6.59646132539631	1.3118442355677e-09	3.49424457256444e-08	11.5830508125123
10231	-1.16622249891087	7.14094714973256	-5.86398210997811	1.72889275970235e-07	2.28232070559804e-06	7.01439093257018
10252	1.0780677152301	9.01776523914535	9.40685658098585	5.82997851221136e-16	2.55513383243943e-13	25.8213558074845
10272	-1.22661961779462	12.0668332707312	-5.39896082480569	3.60712271267006e-07	4.31353808157018e-06	6.15619000030673
10319	1.1967714226525	10.4181091159706	6.96107126177063	2.15432332762123e-10	7.90113854739077e-09	13.3362047152186
10381	-1.22937899705464	8.9244697424734	-7.85429785682425	2.23838383557508e-12	1.92358367752288e-10	17.7776547930739
10404	1.237992887358	8.4079110226623	7.83511803470646	2.47338102947954e-12	2.07468147501464e-10	17.6804570891672
10446	1.00763241765687	6.93906728599547	5.71505015938931	8.64228730266674e-08	1.26056931432134e-06	7.53227465862874
10468	1.01898629479105	7.83344846506373	7.02525409989329	1.5614681955684e-10	6.03526024946341e-09	13.648811788551
10516	1.2807250840999	8.32863352441367	7.22150970118408	5.7978443944244e-11	2.60956732864932e-09	14.6115267892849
10544	-1.05833075679988	11.1771528441296	-7.4432974205461	1.87136828338455e-11	1.03491979104147e-09	15.7111008594788
10561	1.28568783184667	6.99772845319287	6.32448760107778	1.36157626974677e-08	2.51525749050902e-07	9.40712693393905
10628	1.34754553214989	11.3481803931678	6.71509597569984	7.31881806387725e-10	2.15278858184282e-08	12.1490750751948
10630	1.97789270894574	9.60613125777341	8.60240286003626	4.35121207119748e-14	8.54767172080547e-12	21.6166097831298
10631	1.22156008672776	8.96460818565087	4.99404937566952	2.10672470891029e-06	1.97397065055619e-05	4.46251718827591
1066	1.04092284468729	5.95425604032506	5.33689840684664	5.91464851431126e-07	6.57512384935895e-06	5.86322354410258
10673	1.32642578305762	7.74233190088884	10.5180898134266	1.41525416532034e-18	1.65405471814873e-15	31.6921226460273
10761	1.83225064091972	9.96586433854932	9.1556390117801	2.2554325965802e-15	7.1890888819359e-13	24.5020986462895
10788	1.33094597526426	8.64197993269835	6.40212722269274	3.38023530137394e-09	7.70550373755557e-08	10.6656864061271
10791	1.04379320372811	10.2428156753765	8.88079134858275	9.85103426007386e-15	2.27234844228098e-12	23.0646915370792
10800	1.1323598290883	6.56837827413031	6.94942347604901	2.28363295221511e-10	8.28868929301926e-09	13.2795958523044
