"method","imputation","normalization","n_genes","n_significant","n_up","n_down"
"none_combat","none","combat",8260,277,223,54
"none_combat_ref","none","combat_ref",8260,277,224,53
"softimpute_combat","softimpute","combat",17531,525,433,92
"softimpute_combat_ref","softimpute","combat_ref",17531,530,436,94
