GSM3461184	GSM3461185	GSM3461186	GSM3461187
1	5.1872113900583	5.34574894440563	5.26451502619091	5.43710001835802
10	6.13108780566227	6.30235726981068	6.14220817646425	6.89326131450162
100	6.87060285837282	7.04475097335988	7.37017596112804	7.4674535788722
1000	4.63545443616652	4.2863547192896	4.88019896553501	4.38204045677305
10000	5.85211782556649	6.07638813521608	6.02013307511716	6.04492296075783
10001	7.32151066932601	7.10539543151713	7.29670157516501	7.52793245492016
10002	3.63407773713478	4.02798183711367	3.82737446158248	4.09623857822671
10003	3.6096884247717	3.00653191880189	3.08653260252332	2.84379039938111
10004	4.44882571616683	4.54099913020989	4.66720804225961	4.98863352333607
10005	6.68441442550684	6.71905653172448	6.9581424104927	6.79700681133674
10006	8.30976743088881	8.11530957286459	8.13286026723442	8.21443826804705
10007	7.53712676160502	7.06267953266989	7.66649711854327	7.22973764996435
10008	6.13916585680397	6.07390687421048	6.34273126668503	6.11965837877788
10009	7.93914195812602	8.19768597997624	7.97617729022078	8.05192265006493
1001	7.91266498648656	7.3851904629139	7.63834883763489	7.47006560697905
10010	8.75260368956619	8.76800534116735	8.40396379834156	8.50579442597085
100101467	5.21142594826114	5.03419596179199	5.01060114409766	4.8500977312867
10011	8.41603595924408	8.10726196331998	8.53291615659885	8.54243838420124
100113407	4.36940622660272	3.5380808907144	3.82604709177946	2.92252264152053
100125288	5.8550678389346	6.05422969187739	5.90665572363968	6.22247534472119
100127983	4.89193746430846	4.44481333453926	4.23108748965057	3.88393891134779
100128071	4.83575380054261	5.3183510502036	5.05106955074378	5.56764975603282
100128327	2.93813916942211	2.80103344584575	3.04676954478576	2.98191867428025
100128731	10.5384221914366	10.500959018719	10.6165211212936	10.8415368479555
100128927	5.0009089904406	5.05482165806152	4.75108816402096	4.91672682098708
100129098	2.77511686563713	2.88978590424429	2.93046344750617	3.08994437652525
100129128	2.98746327204662	2.60210280774461	3.42226137847569	2.76399615758501
100129250	6.61472692604969	6.28144620106215	6.51198811120913	6.63516288564631
100129271	3.79172995011054	4.47677722342678	4.64001169970091	4.5791237864664
100129361	6.10188075829581	5.58984502752771	5.74016136914131	5.56301321891014
100129528	6.92514549222409	6.96466485772881	6.74921842548112	7.27274827037142
100129654	1.35609988646441	1.37305299089712	1.47954540997285	1.43038587242269
100129792	2.53167668759663	1.94626413702614	2.13642977854701	2.0903684171308
100129969	3.31498497473219	3.2758591168507	3.58116507240518	3.67442983810064
10013	5.14032687305394	5.17788017323473	5.13718304334878	5.35548491389164
100130519	5.23390496013319	5.40934985269936	5.20384802592325	5.65844446609219
100130613	2.63669491544867	2.65193108114262	2.90005593142426	2.91968874356343
100130705	4.67391233144038	4.76523521006414	4.21078546785224	3.70713364185276
100130733	3.80017027982548	3.84910094127914	3.13329315123485	3.84120547053521
100130933	6.34788584350774	6.39494359853964	6.187907201877	6.27340365034577
100130958	5.55068024886033	5.44805418816073	5.96931276091754	5.81770118821746
100131017	6.48213490781236	6.61849429960108	6.44733653119011	6.71695183318644
100131187	8.53811702806137	8.44398254121017	7.97385846655862	8.4133604246709
100131211	3.75012710948959	3.73516864321513	3.68795239769258	3.91109406886504
100131303	6.05719938825654	5.79818268383791	6.47386359466628	5.86734232954088
100131755	3.20357511178463	3.18238256071406	3.13736670250157	3.32421458695661
100131801	7.98049153671983	7.9820546441729	8.09129217689823	8.13239325687871
100131827	5.6689899244349	5.95499076399604	5.73517177373322	5.62591151827426
100131897	2.84343019358251	2.91046338325692	2.84124406080179	2.6876767465698
100132074	7.28890667434199	7.23829594385309	7.50883462667435	6.9809922917556
100132386	2.52885203562407	2.84059480889246	3.13986117702321	2.49002684043511
100132476	1.60972136876338	1.38082202468004	1.47508207700652	1.8459141070125
100133941	10.1246855307112	10.0210887649851	10.4577464144682	9.859294892393
100137047	6.12689920515204	5.68783086499807	5.95126847973985	6.29292913949951
10014	6.19847682045961	6.47399038093425	6.21415515846998	6.4440891097122
100141515	6.17231400052546	4.00368542588405	2.99808849506626	2.49529805717297
100144748	4.00436571198051	4.4678571513152	4.37701748334829	4.22145253719523
10015	9.00836880008637	8.95788511124937	8.73281038826592	8.81316894277408
10016	8.92435816076795	9.0264965519711	8.98329176753005	8.9908497998851
10017	3.96963845178698	4.34788917107517	4.32718716170897	4.32457128951492
100170229	2.74946082422846	2.52260135698036	2.78553723172085	2.92338121619735
100170765	3.16514800118678	3.48826054919475	3.44245238909876	3.54901790230951
100170841	5.89452675759571	6.03643586218619	6.12384380862875	6.21897194682854
10018	5.37509535882149	5.7715813232374	5.55736057981416	5.48827544508825
100188893	10.6281968645493	10.5810458891025	10.7386789988132	10.678190482004
10019	7.11638497482386	6.38777901455007	6.5220407837975	6.07174381025818
1002	3.23359593685699	3.7628046067214	3.60278938569913	3.77853605494205
10020	10.1233530746482	10.2751239245437	10.1847092623707	10.3235771496103
10021	4.37096241697948	4.61429640232182	4.92093092126574	5.11625686900932
10022	2.69743199321926	2.97391607294862	2.96780550574255	2.87813281984943
10023	4.99200765486813	5.57373881031001	4.91251436715428	5.01587816303358
10024	5.86445551487107	6.03161551758456	5.94720908183098	5.95943123159908
10025	6.46689300818038	6.31837254039015	6.56323297278497	6.46683563430573
10026	6.81952242526309	7.19268205656673	6.55117519402175	6.80892310929295
100272147	8.08892463165643	7.87507647255524	7.87841563304574	7.8153025862218
100287482	4.99026315033107	4.05979003212205	4.02812671355457	3.83869084307453
100287932	9.240906500686	8.94469947220754	9.10094965826983	8.95734230306843
100288413	9.11182916202188	8.65412908844522	9.06679863598815	8.33822203989322
