GSM929667	GSM929668	GSM929669	GSM929670
1	3.90267134378602	4.03815135276997	4.07266275844461	3.63106624493894
10	4.87574100641661	4.44232597012428	4.20965126908787	4.4379286734767
100	4.81619932154413	4.89133686285492	5.60732062898319	4.77870293624649
1000	4.33688464061042	4.46791971894558	4.58889196812575	4.45030945587709
10000	5.89790885457953	5.67857509089658	5.72449225405632	5.65442682630652
10001	6.89201269832111	6.82563023103925	6.7042127618997	6.73614076865512
10002	3.61967034332091	3.84019005389382	3.91196377400887	3.64649788980309
10003	3.75381233968998	4.02274967843223	3.87024076521071	3.86181908803684
10004	4.2792849971521	4.31872003506762	4.33590496819186	4.39704297267427
10005	5.71191013972351	5.66392570192306	5.5716497549005	5.66392570192306
10006	7.75494815500759	7.80328799046072	7.76983868855733	7.78875426893856
10007	7.07679669918624	7.50165186681266	7.45135947638772	7.85351010887669
10008	4.91067319019509	5.02982686542095	5.3478669316803	5.23239081171331
10009	6.64904111761478	6.82744241862899	6.53040935472603	6.69066336412522
1001	7.19266714085362	7.50705318434787	7.63243629611678	7.69529789643917
10010	8.13703473587256	7.82184259963023	7.85780175014695	7.81465040868658
100101467	5.7755047225479	6.03073437582356	5.96613995691837	5.91646404018158
10011	7.09333504306201	6.9671184284998	7.1578247124902	6.49458907492188
100113407	3.45410901805333	3.69538786099724	3.78988026751448	3.44365459643546
100125288	5.69576965264873	5.89312413602263	6.3005711284814	6.18829948632323
100127983	4.61098887401031	4.86832542519396	5.04075280798873	4.81548188706719
100128071	4.45026563722249	4.45026563722249	4.58644744044516	4.77757783297086
100128327	4.96363050692696	4.30327707470606	4.59486125816943	4.45248549394
100128731	9.11452314754242	9.18874049496777	9.32214340423067	9.31337057613722
100128927	3.87634219177114	3.87634219177114	3.88999973377052	3.6892454340422
100129098	5.02656228727111	4.87396003223575	4.90705617362201	5.03840248893668
100129128	3.56161516196236	3.53225290741571	3.59837174319177	3.51400395968977
100129250	5.56788563739901	5.70076812620142	5.65130636607442	5.69929754648471
100129271	4.22060817150975	4.18211116309707	4.25367269117624	4.14904664343058
100129361	4.7617947012663	4.83441210960587	4.62358094557754	4.71416262086328
100129528	7.25249496597567	7.47236240040924	7.47779979012353	7.77526849564807
100129654	2.98519858493143	2.97623666154033	3.00853092756945	3.00726837966703
100129792	3.26425277314072	3.37746890618849	3.44208192618877	3.25590067772318
100129969	4.32723483819385	4.11039374792459	4.3089432546548	4.31869165501527
10013	5.41182761816118	5.6103771248914	5.67406546410127	5.54243051016184
100130519	4.74633706235819	4.51329551639848	4.47817142466989	4.67542134230738
100130613	3.82222453712843	3.92057349938845	3.85436136131084	3.80493074084472
100130705	4.18361879132783	3.75075904857477	4.04477884857708	4.09486732165343
100130733	4.73288050603211	4.79983707060787	4.71261884741833	4.25339791083685
100130933	5.17708093892156	4.93766262583568	5.35550511814491	5.24981674660488
100130958	5.1121587103143	5.64812572957644	5.76503888137619	5.84688380283754
100131017	5.15166942728264	5.6926944415383	5.51400177448019	5.47993987912537
100131187	7.18968506936949	7.75522528645241	7.11569363475626	7.76826082201092
100131211	4.41049363518023	4.16085698433269	4.49192705707197	4.23039343099116
100131303	5.74157665524386	5.75016813186467	5.69874814271021	5.65682801827876
100131755	3.97891710864415	4.0465066925118	4.1911126029869	4.07675519441153
100131801	5.46593443259474	5.52068466209895	5.24121073483002	5.22625601545169
100131827	4.4295925729914	4.37455722296239	4.22294423730544	4.86394079293368
100131897	3.20716691128563	3.08580510042167	3.18466393094347	3.24415324960693
100132074	6.47751333475789	6.74640677022372	6.80905802136645	7.41177206818361
100132386	3.69959145806995	3.56642389538732	3.64783173819126	3.90746343900672
100132476	3.16884427530283	3.03532483802877	3.21659110410604	3.07685984459529
100133941	10.6634908960063	10.7123655138285	10.8870336547016	10.879390459943
100137047	5.41002837329561	5.58152327745339	5.49237992993193	5.5052095914341
10014	6.10386132287176	5.72196579769079	5.92005497450416	6.08114396385585
100141515	4.15183764849939	4.29991389599869	4.28801692811626	4.48196948512754
100144748	4.33592578621302	4.27554117546322	4.31343598394269	4.29803097773356
10015	8.65726354819609	8.53373673153704	8.49774384443863	8.52816090512016
10016	7.94484376447348	7.94318206731775	7.81683842741089	7.62139751010654
10017	3.55374567650786	3.64969519389723	3.83319415852157	3.57555948358041
100170229	4.0322002525673	4.16639272938288	4.39711974856272	4.5745544507587
100170765	4.09939755227265	4.22775105647769	4.19161835095156	4.19156931534794
100170841	5.39644403541996	5.46837013688083	5.70562053819322	5.46072673841955
10018	4.86679431931963	4.90321558063926	5.00853697420106	5.26202544680932
100188893	9.41350399333152	9.59150857953198	9.46183991394365	9.40606103989775
10019	7.90362473890086	8.11209718369908	7.90221343690583	7.69398408912062
1002	4.22975748943319	3.9755929266665	4.1477042221802	4.34074773613764
10020	8.18469640686242	7.59084422098301	6.86470762432959	7.26545889401827
10021	4.46381940501307	4.52598436100647	4.57434456238454	4.47208288184001
10022	3.71163909533643	3.97716469956754	3.99980521126585	3.8513388870852
10023	5.3143148941842	4.74981138111687	4.70140843538308	4.48029259945423
10024	5.4584838530915	5.90800385295735	5.86655240647952	5.72538641627222
10025	5.58458121824079	5.57743763104966	5.74534050697997	5.57662958775902
10026	5.21921045731401	5.21408430992821	4.69926993779542	4.76813035574091
100272147	6.39314395633994	6.56161390183789	6.42169804762965	6.13284332178895
100287482	3.40725084413103	3.36236785687872	3.40231230028451	3.41699331261646
100287932	7.84978752796207	7.69433738425281	7.51414095396645	6.76569434741126
100288413	7.69731355108799	7.38780698486661	7.40752000218305	6.53012209817308
100288797	3.84101837635882	3.92977722967395	4.0309627461101	4.12537347816033
100289187	4.17654292784054	4.30638687076709	3.80561493461583	4.23734608618489
100289255	5.65306963081062	5.86636511080395	5.96918964087727	5.84719660181583
100289635	4.85294391725905	5.03288636005573	4.22074613265492	4.64849114340629
100289678	6.26611743600688	6.3512937625134	6.50358217441543	6.33119778560937
100293516	6.31632861032128	6.49791316260517	5.82586812286229	5.3820054601788
1003	8.72931278531394	8.74689604198008	8.92571959660151	7.99279043679976
100303755	5.93850016218792	5.77559315176133	5.23986878529773	5.52045717694498
100316904	6.19058146705072	6.18078923571819	6.51810436690428	6.51561591387708
100329135	3.39614905792506	3.51886092088881	3.4938051396992	3.32033041749897
10036	5.17574186717827	5.07495307105847	5.06158558373785	4.98178011854773
10038	6.61697348183665	6.81502125344598	6.49807066704739	6.81349421931563
100381270	4.82859505388575	4.88085122379008	4.582660680002	4.78375353386291
10039	4.55932151796049	4.62372293783033	4.55476651910062	4.56433388117946
1004	3.84997025625633	3.54908759125311	3.69662884761833	3.51316116636652
10040	4.59472626790299	4.4724354168623	4.57211857250608	4.68198532728563
10042	7.72650364567882	7.61625004186431	7.66425020555156	7.49133711278664
