GSM707051	GSM707052	GSM707053	GSM707054	GSM707055	GSM707056	GSM707057	GSM707058	GSM707059	GSM707060	GSM707061	GSM707062	GSM707063	GSM707064	GSM707065	GSM707066
1	9.277009296388	9.81377464722513	9.84944029428405	10.5940559925259	10.1647796497735	10.8969809923875	9.32159332165536	9.7521999013217	8.36231709225377	10.406124004417	8.76197424074664	10.0472984311902	10.9676150243459	9.90037726804978	9.47818324713232	9.95648118704858
10	9.74951388453852	10.219567680838	10.5857435424507	11.082571581494	10.8248877753158	9.65942254209375	11.151956368394	10.2121113658774	9.09484078095679	8.76866447720268	10.47289812877	9.83327282213628	10.0627903098092	9.64947345170807	10.8049781288423	10.1151308702957
100	11.8183379507255	11.5860161347542	11.6543751260593	11.3992466835474	12.2276620370128	12.0682014408137	11.3762327621994	12.4214238079508	11.9356084579505	11.5793614339328	11.0432967909849	11.462004326607	12.1381760492534	11.679700088233	11.4586166400915	11.5138717054026
10000	11.0840034578781	10.6942823456523	11.0962510122864	11.0912721294765	10.8537455607945	11.3623355595104	10.6371992460049	10.6197331532743	10.7987971858853	10.6522708260596	11.1609537079427	10.6032752368278	10.7645716868166	10.3414125176205	11.0063431494701	10.7760899857222
10001	13.4010813267367	13.3074919789564	13.3535324146349	13.2049047133062	13.2240430113521	13.3493882684546	13.4323891047264	13.4923517897007	13.369375859617	12.9996224526627	13.7780250200655	13.3327287348373	13.4730544477908	13.3617087691842	13.1217080318367	13.1223752061615
10003	11.3876481072	10.810098799689	11.7892783264538	10.6529268323005	10.0102951157761	10.4262116746829	12.169774827508	11.522075428283	11.689596394158	11.4888898761553	12.5228945074891	10.8138626121644	10.731647562556	11.8984005189649	10.7537746215693	12.0030230941935
10005	11.6020896477323	11.4005059534224	11.5128854290786	11.7654228412702	11.5494307876833	11.7618972957392	11.0653713426895	11.807161589781	11.9439788110486	11.3054222448678	11.2915779152741	11.4033720795831	11.1117317010899	11.8235302158866	11.8469161971003	11.3867630537739
10006	13.1424044348087	13.4754036330985	13.5134051568337	12.9361067665529	13.247395468793	13.5375627555191	13.3388522807625	13.6593100234398	13.4216707953546	13.0843003161024	13.7191089141406	13.1745304523803	13.6839088706262	13.5445758378046	13.3949575985409	13.0868422864557
10007	13.103832323574	13.6229905055739	13.1870185528632	13.059228040783	13.5527928002419	12.9476070508419	13.1483977285573	13.1829046044347	13.1265116336071	13.1369326112076	13.6321099776178	13.0236279970382	13.0335942601615	13.3205910276581	13.4106534604612	12.6148100048417
1001	14.1662461361856	13.5445758378046	14.7036771234736	15.2414187813435	14.0501956117674	13.2387147614289	12.2564209899856	14.6757429218451	14.8925164411	14.9836083944209	14.2475383864543	14.0371812245327	14.6365981088664	14.8499068820025	14.2548964252641	15.2964829421727
10010	14.2837840014637	14.3642124143443	14.2584250515689	13.7914970023786	14.5093356720099	14.1300875834609	14.3306159471828	14.2708150883195	13.9224552703143	13.7741678478122	14.8017967317752	14.2169398257263	13.8466719005508	14.3782789367232	14.5455848430284	13.4738285321593
100128553	13.1305034688322	12.0619311032315	12.3179693267119	12.7682913514293	11.2290807925494	11.2452176122355	12.4921406491267	11.1986330480526	12.0157749084853	13.0306845614432	12.0287289829781	11.9557120206066	12.7097735954683	11.7224334358676	11.0245586713277	9.89292946271198
10013	11.3815486740058	10.6968556086406	11.1377569091886	11.0413245288069	10.5695348128349	10.1171961781655	11.1107522864458	10.8217180138237	12.4228828454451	11.4169116964822	10.6751667046871	12.1182550875465	12.3018689150571	11.0970903817888	11.9671960546285	11.6434069972063
10014	14.5385360445543	14.7321637045157	14.3498183772616	14.6486226080774	14.591590295004	14.277692437385	14.7807579486486	14.0206198556981	14.413803334496	14.8217719724737	14.0290482883727	14.573863039782	13.8428562366525	14.5093356720099	15.191488209093	14.5204651029876
10015	15.7367230947921	16.3198468695625	15.668429150699	15.438962505034	15.664894399056	15.5360445996118	16.0629217561438	15.3124216864138	15.5113020565047	15.3824454170416	15.8127015003588	15.720261321947	15.8116973815405	15.6773621660379	16.0737722358448	15.2650382136224
10016	16.1329350363812	15.9786835197249	15.7698141450721	15.9249393482935	15.9774028626401	15.9231995103909	15.9367247167685	16.103031728363	15.9409166815286	15.9442280065396	16.2942045013519	15.7168534894217	16.0422054574316	16.0346803462103	16.0075688676503	15.9755775658371
10018	11.6680733588543	11.6465414737373	11.4401193464608	11.650617466038	11.6162223701312	11.6732756462146	12.1014150683352	11.597726128536	10.7730503757207	12.5531337325719	11.6726316179986	11.2674145693689	11.3673729728409	11.5563018152444	11.4369195076085	11.6496579195932
10019	11.2471030928706	12.3447819997122	12.0923496387773	12.4478023958802	11.7729181820708	11.1824758881911	12.0380618782066	11.8567076083974	12.6987777869161	12.0962384461532	12.8497153586918	11.79427491241	12.3344992671971	12.9835352739985	12.1620326087809	12.8053267116824
10020	15.0434870228244	15.1014551580762	15.0608209019604	15.1887787035722	15.3554042016552	15.0228539221462	14.5480828707541	14.5227061703458	14.7169923385031	14.0028673322982	14.8198559191881	14.8624988792164	13.6331330141089	14.8471101417199	15.5360445996118	13.9429104827656
10021	13.9206981431779	9.74752070639121	11.1831012806727	11.8431129809437	11.79427491241	14.0956395731791	12.8448344015465	13.1406244083817	15.115873768292	15.9745554764826	10.4857303457429	12.2052845194984	12.9255115370657	9.85238668546616	10.7194557191267	12.4124384972597
10023	11.9314928699979	11.628543263915	11.9845717574857	11.8421303026531	11.6821217049165	11.6363133325878	12.2980492012851	11.850536401894	11.8310875256315	11.4349364275692	12.0621379653804	11.1690873949548	10.6621680838033	12.0588424143538	11.8412593582419	11.0989247420927
10024	10.5703251890896	10.4236791975879	10.4031307704276	11.3895417877255	10.3811972318606	10.3215569068849	9.58651864301343	10.8145030470511	10.8749289545328	11.1636329632885	9.65824530988076	9.11619692063165	10.8393231143152	10.1833357030132	11.0708690454117	11.0847055251033
10025	12.4927727938886	12.4339214710403	12.0353551236925	12.397616593024	12.2379751274342	11.9243560618243	11.3673729728409	11.5621872560094	12.4349744247074	13.0501001930211	11.1247945646184	12.2442017447152	12.5945878807947	11.4429246554025	12.4214238079508	12.7768007581446
10026	12.1607828137277	11.4249854034115	11.2392756408562	9.52488598463207	11.8567076083974	11.7835962384743	11.6370710754638	11.893050883511	10.7128514148738	8.50329697114901	11.9731448582114	11.4848748387367	11.3435312724461	11.4672008681425	10.9474192652305	9.31863209449936
100287171	14.877450068093	14.670325997976	15.1634100221416	15.3643284037285	14.7195477944463	14.4761309538217	15.089508318133	14.5158233435847	15.4012321978453	15.5113020565047	14.3647383057368	15.3682127839914	15.6029799144343	14.9831103846358	15.3960033247112	15.505224337503
100287932	14.1721607845744	14.0782247452076	13.9224552703143	14.4013846029697	14.2708150883195	14.3135383346306	13.9556604165577	14.5964547134398	14.2690355495718	14.0888783134231	14.2026550810955	14.2479747254976	14.2225537422083	14.4242577512619	14.4227924834251	14.1981305641699
100288413	14.0893762625609	15.0705991530213	14.2531225574827	14.004732420105	14.6264869103863	14.1163206598927	13.8449836142302	14.0141400823017	14.5039967930857	13.6466945915035	14.5232313768398	14.5906500641921	13.7238342407897	13.8489963973537	14.226883082484	13.3018553677764
100289635	9.67107228059934	10.4078250115043	10.1074669645195	10.036813797408	9.70743746435647	8.81386160099106	9.26061498649672	10.0645551562779	8.40594093943748	10.5231195862613	10.3291132899958	8.80575637658999	8.81000191438129	10.1039695607304	9.77588841468956	10.9754163627858
1003	15.4480532099234	15.8757162902719	15.3301474634457	15.5954681631199	15.3742434001114	14.2306365134994	13.6914751279099	14.7840533322794	15.2727850087379	14.9220212453572	15.6443902109697	14.5996695256574	14.7766400700585	16.1365952532944	15.3072363587554	15.8116973815405
10036	11.4900245286305	11.7648461260241	11.5022440611549	11.9748939345062	11.5322690495014	11.237494684761	10.871145886641	12.2734247228535	12.19530765299	12.1914287225133	11.9695106097214	11.6562317272177	12.3529495145716	11.8786648601963	12.1321423978392	12.2415249242884
10038	12.7499730116089	12.6328211030023	12.3970110007565	12.4592573582806	12.8702035465351	12.66308432629	11.7859057101719	13.4170661696493	12.8096892266008	11.7079311492278	13.30782425643	12.6140130179279	12.0782050759877	13.1256953751584	12.4982686643071	12.2481428486068
10040	10.3130199423556	11.3729343541864	9.27279115106798	9.58027128334988	10.4353391539327	10.8763621918184	10.178971944944	10.9191765237548	10.5208861642922	9.65037650896681	11.151956368394	10.0619942089708	10.681121084556	10.9106551366187	10.2368062878466	10.546054165587
10042	12.1124313474879	12.4853756803921	12.572553085066	13.617250488322	12.2785884833417	12.7390101884606	12.4488383819803	12.2408212423364	12.3476071003148	12.5954979239575	12.9045342534548	12.2469350042992	12.6343553157565	12.3179693267119	12.4537718181379	12.4694224256902
10043	15.1692366767337	15.0473015740924	14.7136579858652	15.2667722603718	14.6848953185232	15.0640919204448	15.4942062595419	14.8012749215352	14.8951671517964	15.1928969413282	14.9074752858166	14.9825055652061	14.7699543777398	14.8039117881162	15.1661272241839	15.463047172526
10045	14.2112929926565	14.1529694963195	12.7055469108303	14.0555076030743	13.6384424908601	13.4871839512914	13.6759389544076	13.1267604264685	13.5073267400492	14.0969955847299	13.6154906413258	13.7603663501666	14.4927359788676	13.4904721686762	14.3636628890391	13.7140497155325
10046	8.95256627468718	7.96688085225565	9.71118963984472	8.693300153344	8.58320307592187	8.48099943313557	7.60607847445132	9.29635350254368	9.60094528833927	10.1687947180447	10.7430891550886	8.7414764530248	9.50274409743382	9.60947302338604	9.65401473146731	10.1336705835813
