GSM252349	GSM252350	GSM252351	GSM252352	GSM252353	GSM252354	GSM252355	GSM252356
1	4.47090149419097	3.58316492887832	3.99104125441298	4.42469801879914	3.92663808456523	3.91914236037519	4.09353789824951	3.86636630696082
10	4.16565471740992	3.88797857714382	3.6601673582025	3.94302175921287	3.99367865752775	3.70925616461012	3.70752584481889	3.85341368710451
100	4.87410920581979	4.92823219231085	4.86350389698699	5.42297551100089	4.94054627856291	4.91334823640847	5.51268259446148	4.58917998115888
1000	4.76003374598533	5.17427859029738	4.88003418863014	4.79665373235228	4.39174652491847	4.38815314276031	5.31367489842696	4.25247406268918
10000	4.14310218786806	4.0843068797551	4.19964547808436	4.16543524337284	4.00624340019381	4.07651386900683	4.28855307777471	4.13310616998982
10001	6.52508038804264	6.06525618039387	6.04305964929242	6.22894750265909	6.67658069554385	6.34754815311519	6.57294648435534	6.27248785846189
10002	2.87600818014061	3.15799290781143	2.80280172973579	2.83959018922623	2.83227107804126	2.91826359777761	2.76829704002647	2.87871063044341
10003	2.69481284215938	2.91013489080272	3.01487323484522	2.9086759841116	2.87421132301469	3.09485316442118	3.00128430919384	2.66838867413153
10004	3.85034842129518	3.88935888815838	3.80298001605348	3.74168080409879	3.41612390170172	3.70385351228943	3.86320313263164	3.89619380109132
10005	6.16282486805714	5.37681621943622	6.18532267672217	6.13019796900996	6.10123577789369	5.86483925787189	6.20313793731768	6.0624702121492
10006	7.30696578691479	6.66139416848049	7.07962741645636	7.31048437540913	7.61319889645929	7.21130956966157	7.7449566200076	7.44284285734001
10007	7.24123776086225	6.82440509835857	6.99428786926144	7.00187690425355	7.63621741528631	6.85754803112059	7.05221698943637	7.59910519034166
10008	4.67433393211305	3.93820375963326	4.30603735774459	4.20840820436679	5.27938265943426	4.24368831207371	4.61371248974839	4.77820046561975
10009	6.04268323327979	6.43656437316946	6.27114242781747	6.27620671504782	6.4112644202275	6.24639957102008	6.32669393048272	6.23408861785627
1001	7.08383797571589	7.21811635510368	7.15642349495915	7.17179537982794	6.90966254084194	6.89783704166842	7.55504549003242	7.04293597903558
10010	6.75704872578107	6.48569806634444	6.69965558767818	6.86990315535683	7.24281025542666	6.82740108610327	7.21603319010591	6.82334770810146
100101467	5.09060187995138	5.22780486866946	5.09931275100611	5.03220187228721	5.05569879005824	5.00947508549991	4.81640970423813	5.05571336762604
10011	7.11386418077285	6.69136985451396	6.84945263586159	6.55557992741397	7.12582486360486	6.75362679754983	6.3743980372911	6.91035281402201
100113407	2.86406812564859	2.91436595959734	2.80720780189398	2.96642833604543	3.10447705984445	2.89961371499423	2.94887223657135	3.30023453537966
100125288	4.98092804656555	5.05707885730565	4.62481863485844	4.68399269182433	4.69937268461528	4.71482829768745	4.56738063137807	4.77244546508425
100127983	3.30733070038554	3.91294421504317	3.98214051742077	4.24466697538304	3.81073874103917	3.96152124867843	4.3327538096317	4.09549706795777
100128071	4.00942902244758	4.0894965181147	3.8164973115138	3.56853621795045	3.66857615326727	3.91776511987075	3.65544802615336	3.72417607576439
100128327	2.68422657109676	2.64235246245252	2.65279411857204	2.6026326551812	2.82639619187954	3.03666197366682	2.89921469537062	2.94079264907877
100128731	9.21866023411264	8.73196157554076	9.58104324836017	9.45431475323796	9.03566042922466	8.74440762542392	9.17655308717503	8.70055808816267
100128927	3.0784043400697	2.89099291681345	3.25891462271978	3.14495778855737	3.42758751152952	3.28699233175635	3.19990188255675	3.23299140324617
100129098	4.34099141611672	4.524634437993	4.47099822012108	4.43859746520879	4.32607699383745	4.35997910241156	4.34519631752994	4.68326407458675
100129128	2.69873817563153	2.53309871186313	2.54807954200123	2.5802325124954	2.36700585002684	2.89911341993367	2.62689419043987	2.84926506388983
100129250	5.49056828775691	5.3322253845906	5.55807026439972	5.60568968999367	5.55163492590045	5.49251425089983	5.40022505933509	5.35655939118557
100129271	3.19449104573743	3.17741290978108	3.2188711410729	3.17801009586671	3.03749776857508	3.27622922495159	2.96728190615217	3.16887722781025
100129361	4.15377301463059	4.13908879069253	4.15762792027701	4.12735268257518	4.31291394591875	4.47340693011791	4.02517509245189	4.22071068487764
100129528	6.40580787333007	6.12331634770628	6.04478148633219	6.11881321385564	5.37897806845387	5.95912620868386	6.00653901806983	6.07204746816026
100129654	2.39334398837031	2.36298662461789	2.31146355911003	2.27664661531576	2.32972617377714	2.29569646040809	2.29074791125288	2.32087852907327
100129792	2.42197432481774	2.9052864669151	2.74718977070099	2.57296686993329	2.69708999698289	2.60203908367644	2.53929702093818	2.59684488989849
100129969	3.02006907784843	2.87684571373148	2.93068770419144	2.90472649012334	2.75046785767565	2.82488734554523	2.99692663037198	2.96924385968819
10013	5.13572895580031	5.20324165883829	4.84790006279489	4.9451308809918	5.01101643293749	5.0136925950404	4.88338397001457	5.10206994416645
