"N_1st","categorical","linear","poly2","ns3"
10,0.453333333333333,0.481412639405204,0.428819444444444,0.443107221006565
16,0.484804630969609,0.522007042253521,0.465711361310133,0.481481481481481
20,0.522849462365591,0.548172757475083,0.493365500603136,0.507861635220126
25,0.61314791403287,0.61864406779661,0.549000951474786,0.5678391959799
30,0.625,0.647058823529412,0.565406976744186,0.572649572649573
40,0.674336283185841,0.697312588401697,0.625714285714286,0.637795275590551
50,0.701342281879195,0.731066460587326,0.635006784260516,0.653381642512077
60,0.765957446808511,0.788870703764321,0.715361445783133,0.712264150943396
80,0.844243792325056,0.865695792880259,0.79144385026738,0.799654576856649
100,0.966592427616927,0.971751412429379,0.960552268244576,0.957089552238806
