gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
10068	1.06910001699489	8.44788279724118	6.99903804527513	1.64891643421374e-10	7.2063755273045e-09	13.609292898819
10166	-1.05619878791102	9.10510117900635	-5.81932621018989	5.12174445632347e-08	8.79534494994425e-07	8.06274632829748
10194	1.14240051189485	9.1116733102834	7.56147588062438	9.24817030061410e-12	7.00824648468555e-10	16.4037210271515
10202	2.16740029927815	7.57942137226278	6.23145111539516	7.28398974930528e-09	1.7853339860315e-07	9.94391733124669
10252	1.07853566973848	8.39664396655848	8.68421182851689	2.42971899087432e-14	7.45295089859169e-12	22.1774253500638
10272	-1.19450470982957	12.7507932296408	-4.72349467310325	6.4138098401794e-06	5.34720340008929e-05	3.43377395105987
10319	1.15458358249842	9.65744858630781	6.03450134543463	1.8649041209829e-08	3.98038967424257e-07	9.03654097930719
10381	-1.20009372170567	10.2684365755378	-7.97861883841551	1.04309145016981e-12	1.24868628672501e-10	18.5230502990424
10404	1.21422952746492	8.04494144148169	6.95487933905889	2.0603427063708e-10	8.68287283399125e-09	13.3934300263735
10468	1.02639835977927	8.28835853818359	6.81717614807799	4.11228492959234e-10	1.55102618805629e-08	12.7239300733973
10516	1.24440778214693	8.62958266134511	6.40881493654001	3.08699747026211e-09	8.70259355097781e-08	10.7733973345447
10544	-1.073041595175	12.357655877384	-6.31162547980799	4.94792425896129e-09	1.28305905123372e-07	10.3174652192491
10628	1.28341204390664	10.9632088534223	5.53772071698345	1.8676410817253e-07	2.63145603521765e-06	6.81802525517625
10630	1.95550126230192	9.0191343947097	8.52386801378885	5.74595815240939e-14	1.53101981738392e-11	21.3405433318678
10631	1.21323988889927	9.1090035536745	5.09999232742118	1.30129575198469e-06	1.3623197606329e-05	4.95639734353884
10673	1.3762951198955	7.45179028378179	8.92818981477155	6.5190720759321e-15	2.25637543193569e-12	23.4567952768722
10761	1.81400330245392	10.5372462233791	8.68371693025909	2.43619460365588e-14	7.45295089859169e-12	22.1748372805402
10788	1.28880365919868	8.92058988136499	5.95967031412794	2.65541813979764e-08	5.24730952983935e-07	8.69574911560777
10791	1.06009783285679	9.79985185303199	8.15454591996484	4.11501444796985e-13	5.76102022715779e-11	19.4268515918203
10800	1.10740685276321	6.9124313716452	6.94860325022242	2.12652160367377e-10	8.91627839916005e-09	13.3627956045693
10870	2.29507207614873	8.97822774268127	7.45044845004804	1.64303446822222e-11	1.0242956022372e-09	15.8459079974033
10875	1.14255047159389	8.59779340549841	4.21742265239194	4.85201168416124e-05	0.000295339841644597	1.51478579195131
10886	1.38439063987183	8.34206743019569	4.14686376035245	6.35838794777925e-05	0.000370382824038481	1.25973052868039
10894	2.55970301110684	10.1490572402524	6.82454023785925	3.96362003512124e-10	1.51653881092877e-08	12.7595909679336
109	1.15858515584566	9.63845067252481	7.96694417245562	1.10929062849999e-12	1.29991084110138e-10	18.4632692027083
11096	1.34472170716317	8.9146998194361	6.1640267981251	1.00655660744732e-08	2.36197658452126e-07	9.63161731798243
11099	-1.05579080524972	10.0757106359902	-6.56966442855846	1.40421735897675e-09	4.46109053274921e-08	11.5351738623534
1123	1.16722175123052	10.1985929356841	6.19733844567559	8.58078559237905e-09	2.07243535067401e-07	9.78569915503775
11309	1.85975121580142	8.24015898262689	8.32172339012826	1.69218395195419e-13	3.16596227852468e-11	20.2905289213287
11326	1.84736491270989	9.06104653279888	5.67793401637572	9.84783863446948e-08	1.53188600980636e-06	7.43342051928245
114907	1.0623484298183	8.05591566967498	5.86252123410761	4.18768907476764e-08	7.42281368188427e-07	8.25670251552082
116238	-1.2034536108469	9.52290393721913	-7.50719530005181	1.22526098853102e-11	8.29561947972643e-10	16.1306567235911
116362	1.31892196981641	8.00568796105883	5.86584803002533	4.12312265192867e-08	7.3240845386948e-07	8.27167299556812
116835	1.07367344244533	6.80818990697431	8.44835113383017	8.60792979257399e-14	1.97504166907392e-11	20.9475918342515
118429	1.009189057007	10.2496201888633	6.6070794702867	1.16771639847421e-09	3.73850288813838e-08	11.7136146673264
1236	-2.36938687767092	11.012839699463	-9.90986970450827	3.10559092962355e-17	3.20652263483632e-14	28.6567948166349
127845	-1.2456016912068	9.26725931515881	-7.09717818536202	1.00316839039695e-10	4.78969416455423e-09	14.0909941378224
1396	1.66315563118886	8.82419991635404	6.29232982520694	5.43165801427825e-09	1.39333836018442e-07	10.2273485226713
139818	1.08558434411469	8.82689650851195	5.92946248645404	3.06071305919106e-08	5.77202965043794e-07	8.55881652996224
1520	1.16907854075719	7.02621237650702	7.7002065053891	4.49316308855261e-12	3.86599240744214e-10	17.1045796647026
1536	1.81005074529073	8.03049184598664	7.17956445452944	6.59691968691697e-11	3.32259491548379e-09	14.4973964003809
1592	-1.50938106344972	8.68860725734779	-4.69256641565867	7.28782336641165e-06	5.98383906625848e-05	3.31216186521496
163732	1.36408876510158	6.80287963890444	6.15748548614397	1.03855161994254e-08	2.43015194921399e-07	9.60140998149883
165	1.12254580941051	8.23515846362327	6.20392704409499	8.3137624371085e-09	2.01383219151074e-07	9.81622391796393
1675	1.70292278881034	10.0138718446832	6.36827709379814	3.7598037397379e-09	1.01822881607328e-07	10.5828197326823
168537	1.14784325648109	7.33919497689655	6.41822955133151	2.94859487443404e-09	8.42264636030596e-08	10.8177400817207
1734	-1.27179306026149	10.1926633679695	-5.62298115430827	1.26681269615858e-07	1.89906948643737e-06	7.19118274678663
1809	1.20233794451794	8.02324631356595	6.42889277166872	2.79921537227919e-09	8.11281367544777e-08	10.8680010533805
1827	1.16875742609813	8.58858769668477	8.04613241296373	7.30429403458891e-13	9.57674106757213e-11	18.8692461527743
1880	1.07708847297687	8.49675543204274	7.78104017858701	2.94500331558389e-12	2.86185028079093e-10	17.5148285118191
192666	-1.0217003797181	7.28194126503917	-5.3948509493456	3.55364591798221e-07	4.55087058643923e-06	6.20023327612364
