"gene","n_datasets_with_gene","non_imputed_First.trimester","non_imputed_Second.trimester","in_both_groups"
"10003",3,17,5,TRUE
"100049587",1,9,5,TRUE
"100101267",1,9,5,TRUE
"100127206",1,9,5,TRUE
"100127983",3,17,5,TRUE
"100128927",3,17,5,TRUE
"100129583",2,24,5,TRUE
"100129792",3,17,5,TRUE
"100130613",3,17,5,TRUE
"100130705",3,17,5,TRUE
"100130742",1,9,5,TRUE
"100132247",2,24,5,TRUE
"100132406",2,24,5,TRUE
"100134934",1,9,5,TRUE
"100134938",1,9,5,TRUE
"100169851",1,9,5,TRUE
"10019",3,17,5,TRUE
"10023",3,17,5,TRUE
"100287171",2,24,5,TRUE
"100287284",1,9,5,TRUE
"100289635",3,17,5,TRUE
"100310812",1,9,5,TRUE
"10044",3,17,5,TRUE
"100505576",3,17,5,TRUE
"100506049",3,17,5,TRUE
"10052",3,17,5,TRUE
"10063",2,24,5,TRUE
"10082",3,17,5,TRUE
"100820829",3,17,5,TRUE
"100874261",1,9,5,TRUE
"100885850",2,24,5,TRUE
"10090",3,17,5,TRUE
"10094",2,24,5,TRUE
"10124",2,24,5,TRUE
"10125",3,17,5,TRUE
"1013",3,17,5,TRUE
"10149",3,17,5,TRUE
"10161",3,17,5,TRUE
"101669762",3,17,5,TRUE
"10168",1,9,5,TRUE
"10203",3,17,5,TRUE
"10223",3,17,5,TRUE
"10224",2,24,5,TRUE
"10231",3,17,5,TRUE
"10232",3,17,5,TRUE
"10239",2,24,5,TRUE
"10242",3,17,5,TRUE
"10243",3,17,5,TRUE
"10257",3,17,5,TRUE
"10261",3,17,5,TRUE
"10266",3,17,5,TRUE
"10268",3,17,5,TRUE
"10288",3,17,5,TRUE
"1030",3,17,5,TRUE
"10320",3,17,5,TRUE
"10325",3,17,5,TRUE
"10333",3,17,5,TRUE
"10344",3,17,5,TRUE
"10349",1,9,5,TRUE
"10350",3,17,5,TRUE
"10351",3,17,5,TRUE
"10371",3,17,5,TRUE
"10388",3,17,5,TRUE
"10389",3,17,5,TRUE
"103910",2,24,5,TRUE
"10410",2,24,5,TRUE
"10412",2,24,5,TRUE
"10447",2,24,5,TRUE
"10452",2,24,5,TRUE
"10476",2,24,5,TRUE
"10477",2,24,5,TRUE
"10498",3,17,5,TRUE
"10507",3,17,5,TRUE
"10512",3,17,5,TRUE
"10561",3,17,5,TRUE
"10568",3,17,5,TRUE
"10584",3,17,5,TRUE
"10588",2,24,5,TRUE
"10597",2,24,5,TRUE
"10599",3,17,5,TRUE
"10605",2,24,5,TRUE
"10612",3,17,5,TRUE
"10620",2,24,5,TRUE
"10622",3,17,5,TRUE
"10650",3,17,5,TRUE
"1066",2,24,5,TRUE
"10686",3,17,5,TRUE
"10693",3,17,5,TRUE
"1071",3,17,5,TRUE
"10742",3,17,5,TRUE
"10750",3,17,5,TRUE
"10773",3,17,5,TRUE
"10794",3,17,5,TRUE
"10811",3,17,5,TRUE
"10815",3,17,5,TRUE
"10816",3,17,5,TRUE
"1082",2,24,5,TRUE
"10859",3,17,5,TRUE
"10871",3,17,5,TRUE
"10873",3,17,5,TRUE
"10874",3,17,5,TRUE
"10901",2,24,5,TRUE
"10911",3,17,5,TRUE
"10951",2,24,5,TRUE
"10964",3,17,5,TRUE
"10965",2,24,5,TRUE
"10971",2,24,5,TRUE
"10990",3,17,5,TRUE
"11022",3,17,5,TRUE
"11033",3,17,5,TRUE
"11035",3,17,5,TRUE
"11043",3,17,5,TRUE
"11064",3,17,5,TRUE
"11065",3,17,5,TRUE
"11077",1,9,5,TRUE
"1109",3,17,5,TRUE
"11095",3,17,5,TRUE
"11098",3,17,5,TRUE
"11102",2,24,5,TRUE
"11105",3,17,5,TRUE
"11120",3,17,5,TRUE
"11131",3,17,5,TRUE
"11143",2,24,5,TRUE
"11144",3,17,5,TRUE
"11149",3,17,5,TRUE
"11156",3,17,5,TRUE
"11158",1,9,5,TRUE
"11159",2,24,5,TRUE
"11170",3,17,5,TRUE
"11173",2,24,5,TRUE
"11182",3,17,5,TRUE
"11184",3,17,5,TRUE
"11185",3,17,5,TRUE
"11199",3,17,5,TRUE
"1120",2,24,5,TRUE
"11200",2,24,5,TRUE
"11213",3,17,5,TRUE
"1122",2,24,5,TRUE
"11224",2,24,5,TRUE
"11237",3,17,5,TRUE
"11238",2,24,5,TRUE
"112398",2,24,5,TRUE
"1124",3,17,5,TRUE
"112476",3,17,5,TRUE
"11249",3,17,5,TRUE
"112495",2,24,5,TRUE
"11272",2,24,5,TRUE
"112755",3,17,5,TRUE
"11280",3,17,5,TRUE
"112970",2,24,5,TRUE
"11314",3,17,5,TRUE
"11330",3,17,5,TRUE
"113457",2,24,5,TRUE
"1135",3,17,5,TRUE
"113612",3,17,5,TRUE
"1138",3,17,5,TRUE
"114088",3,17,5,TRUE
"114335",1,9,5,TRUE
"114336",2,24,5,TRUE
"114548",3,17,5,TRUE
"114625",3,17,5,TRUE
"114757",3,17,5,TRUE
"114784",3,17,5,TRUE
"114800",3,17,5,TRUE
"114801",3,17,5,TRUE
"114836",3,17,5,TRUE
"114881",3,17,5,TRUE
"114902",2,24,5,TRUE
"114928",2,24,5,TRUE
"114991",3,17,5,TRUE
"115572",3,17,5,TRUE
"1159",1,9,5,TRUE
"115992",3,17,5,TRUE
"116150",2,24,5,TRUE
"116159",3,17,5,TRUE
"1163",2,24,5,TRUE
"116372",3,17,5,TRUE
"116412",3,17,5,TRUE
"116842",3,17,5,TRUE
"116984",3,17,5,TRUE
"117178",3,17,5,TRUE
"117247",3,17,5,TRUE
"117248",3,17,5,TRUE
"1176",2,24,5,TRUE
"1181",3,17,5,TRUE
"118490",3,17,5,TRUE
"1187",1,9,5,TRUE
"118932",3,17,5,TRUE
"1193",3,17,5,TRUE
"12",3,17,5,TRUE
"120227",3,17,5,TRUE
"120939",3,17,5,TRUE
"121274",3,17,5,TRUE
"122616",3,17,5,TRUE
"1235",3,17,5,TRUE
"123606",3,17,5,TRUE
"123872",3,17,5,TRUE
"124",3,17,5,TRUE
"1240",3,17,5,TRUE
"124222",3,17,5,TRUE
"124590",3,17,5,TRUE
"124637",3,17,5,TRUE
"124801",2,24,5,TRUE
"124944",2,24,5,TRUE
"124961",3,17,5,TRUE
"125061",3,17,5,TRUE
"125206",3,17,5,TRUE
"125875",3,17,5,TRUE
"125893",3,17,5,TRUE
"1259",3,17,5,TRUE
"125919",2,24,5,TRUE
"126017",2,24,5,TRUE
"126069",3,17,5,TRUE
"126205",3,17,5,TRUE
"126272",3,17,5,TRUE
"126353",3,17,5,TRUE
"126374",3,17,5,TRUE
"126375",3,17,5,TRUE
"126432",1,9,5,TRUE
"126637",1,9,5,TRUE
"126669",3,17,5,TRUE
"1271",3,17,5,TRUE
"127281",3,17,5,TRUE
"127396",3,17,5,TRUE
"127435",3,17,5,TRUE
"127495",3,17,5,TRUE
"127703",3,17,5,TRUE
"128025",3,17,5,TRUE
"128077",3,17,5,TRUE
"1288",3,17,5,TRUE
"129642",3,17,5,TRUE
"129868",2,24,5,TRUE
"130075",1,9,5,TRUE
"1301",3,17,5,TRUE
"130132",3,17,5,TRUE
"130271",3,17,5,TRUE
"130497",3,17,5,TRUE
"130535",3,17,5,TRUE
"130574",3,17,5,TRUE
"130733",3,17,5,TRUE
"131450",3,17,5,TRUE
"131578",3,17,5,TRUE
"131873",3,17,5,TRUE
"131920",3,17,5,TRUE
"132228",3,17,5,TRUE
"132720",3,17,5,TRUE
"132789",3,17,5,TRUE
"132864",3,17,5,TRUE
"133491",3,17,5,TRUE
"1337",2,24,5,TRUE
"134728",3,17,5,TRUE
"135458",3,17,5,TRUE
"136288",3,17,5,TRUE
"136319",2,24,5,TRUE
"1370",3,17,5,TRUE
"1375",2,24,5,TRUE
"138046",3,17,5,TRUE
"138199",3,17,5,TRUE
"138639",3,17,5,TRUE
"139065",3,17,5,TRUE
"139170",3,17,5,TRUE
"1393",3,17,5,TRUE
"139324",3,17,5,TRUE
"1394",2,24,5,TRUE
"139716",3,17,5,TRUE
"139741",1,9,5,TRUE
"1400",3,17,5,TRUE
"140290",2,24,5,TRUE
"140462",3,17,5,TRUE
"140469",3,17,5,TRUE
"140545",3,17,5,TRUE
"140564",3,17,5,TRUE
"140706",3,17,5,TRUE
"140730",3,17,5,TRUE
"140825",1,9,5,TRUE
"140886",3,17,5,TRUE
"1412",3,17,5,TRUE
"1414",3,17,5,TRUE
"143",2,24,5,TRUE
"1431",2,24,5,TRUE
"143279",3,17,5,TRUE
"143503",3,17,5,TRUE
"143570",3,17,5,TRUE
"143630",3,17,5,TRUE
"143872",3,17,5,TRUE
"143879",3,17,5,TRUE
"144110",3,17,5,TRUE
"144453",3,17,5,TRUE
"144699",3,17,5,TRUE
"144983",2,24,5,TRUE
"145173",3,17,5,TRUE
"1454",2,24,5,TRUE
"145553",2,24,5,TRUE
"145781",2,24,5,TRUE
"146177",3,17,5,TRUE
"1463",3,17,5,TRUE
"1464",3,17,5,TRUE
"146434",3,17,5,TRUE
"146540",3,17,5,TRUE
"146754",3,17,5,TRUE
"146760",3,17,5,TRUE
"146779",1,9,5,TRUE
"146894",3,17,5,TRUE
"147040",2,24,5,TRUE
"147372",3,17,5,TRUE
"147687",3,17,5,TRUE
"147694",3,17,5,TRUE
"147837",3,17,5,TRUE
"147948",3,17,5,TRUE
"147949",3,17,5,TRUE
"148003",2,24,5,TRUE
"148398",3,17,5,TRUE
"148811",3,17,5,TRUE
"1490",3,17,5,TRUE
"149095",3,17,5,TRUE
"1493",3,17,5,TRUE
"149428",3,17,5,TRUE
"149628",3,17,5,TRUE
"149708",3,17,5,TRUE
"149840",3,17,5,TRUE
"150",3,17,5,TRUE
"1500",2,24,5,TRUE
"150094",2,24,5,TRUE
"150159",3,17,5,TRUE
"150465",3,17,5,TRUE
"151",3,17,5,TRUE
"1511",3,17,5,TRUE
"151295",3,17,5,TRUE
"151313",1,9,5,TRUE
"151473",3,17,5,TRUE
"151647",3,17,5,TRUE
"151651",3,17,5,TRUE
"151742",3,17,5,TRUE
"152098",3,17,5,TRUE
"1524",3,17,5,TRUE
"152404",3,17,5,TRUE
"152485",3,17,5,TRUE
"152519",3,17,5,TRUE
"153364",3,17,5,TRUE
"153642",3,17,5,TRUE
"153733",3,17,5,TRUE
"154",3,17,5,TRUE
"154141",3,17,5,TRUE
"154313",3,17,5,TRUE
"155",3,17,5,TRUE
"155038",3,17,5,TRUE
"155382",3,17,5,TRUE
"155465",3,17,5,TRUE
"1565",1,9,5,TRUE
"157657",3,17,5,TRUE
"157777",3,17,5,TRUE
"158376",3,17,5,TRUE
"158399",3,17,5,TRUE
"158401",3,17,5,TRUE
"158586",3,17,5,TRUE
"1591",3,17,5,TRUE
"1593",3,17,5,TRUE
"159371",3,17,5,TRUE
"159686",3,17,5,TRUE
"159963",3,17,5,TRUE
"160065",3,17,5,TRUE
"1602",3,17,5,TRUE
"160364",3,17,5,TRUE
"160728",3,17,5,TRUE
"161145",3,17,5,TRUE
"161394",3,17,5,TRUE
"161742",3,17,5,TRUE
"161835",3,17,5,TRUE
"162979",3,17,5,TRUE
"163059",2,24,5,TRUE
"163259",3,17,5,TRUE
"1641",3,17,5,TRUE
"164312",3,17,5,TRUE
"1646",3,17,5,TRUE
"164832",3,17,5,TRUE
"165055",3,17,5,TRUE
"166336",3,17,5,TRUE
"166655",2,24,5,TRUE
"1667",1,9,5,TRUE
"166793",3,17,5,TRUE
"1668",2,24,5,TRUE
"167465",3,17,5,TRUE
"167555",1,9,5,TRUE
"167681",3,17,5,TRUE
"168417",1,9,5,TRUE
"168667",3,17,5,TRUE
"169355",3,17,5,TRUE
"169611",3,17,5,TRUE
"169834",3,17,5,TRUE
"169981",3,17,5,TRUE
"170370",3,17,5,TRUE
"170371",3,17,5,TRUE
"170575",3,17,5,TRUE
"170692",3,17,5,TRUE
"170958",2,24,5,TRUE
"171425",3,17,5,TRUE
"1719",2,24,5,TRUE
"1728",3,17,5,TRUE
"1742",3,17,5,TRUE
"1776",3,17,5,TRUE
"1794",3,17,5,TRUE
