"method","mask_type","repeat_n","correlation","rmse","mae","n_masked","n_blocks","converged","error_message"
"softimpute","random_cells",1,0.993059214927364,0.336058872901849,0.223879595809026,145726,NA,TRUE,NA
"missmda","random_cells",1,0.989949500992405,0.404081820974654,0.279938419079646,145726,NA,TRUE,NA
"knn","random_cells",1,0.940938618836763,1.00830653082523,0.603138119483485,145726,NA,TRUE,NA
"gene_mean","random_cells",1,0.715402036666804,1.99645422414004,1.44103841104321,145726,NA,TRUE,NA
"batch_mean","random_cells",1,0.988092367616415,0.439632598630202,0.297586004043209,145726,NA,TRUE,NA
"softimpute","random_cells",2,0.992845335817389,0.339438094982965,0.224856185234906,145726,NA,TRUE,NA
"missmda","random_cells",2,0.989715552425826,0.406654385863291,0.280890523303873,145726,NA,TRUE,NA
"knn","random_cells",2,0.937459706355133,1.03300942419477,0.620387849433605,145726,NA,TRUE,NA
"gene_mean","random_cells",2,0.714015835624633,1.99037754369337,1.43665823592138,145726,NA,TRUE,NA
"batch_mean","random_cells",2,0.987600792077575,0.446283001511883,0.299515505705953,145726,NA,TRUE,NA
"softimpute","random_cells",3,0.992886557383909,0.339312216263434,0.225348777088482,145726,NA,TRUE,NA
"missmda","random_cells",3,0.989708385891028,0.407807005095228,0.281458106955929,145726,NA,TRUE,NA
"knn","random_cells",3,0.943608490161717,0.984809619379424,0.588964765957255,145726,NA,TRUE,NA
"gene_mean","random_cells",3,0.714315502465395,1.99450002416131,1.43953607914567,145726,NA,TRUE,NA
"batch_mean","random_cells",3,0.987705851026942,0.445493012471468,0.299763856160525,145726,NA,TRUE,NA
"softimpute","gene_dataset_block",1,0.817066595867396,1.51456751803795,1.15950868316647,145740,7604,TRUE,NA
"missmda","gene_dataset_block",1,0.680482551910709,2.17559724539394,1.59285914024188,145740,7604,TRUE,NA
"knn","gene_dataset_block",1,0.703043638300355,1.85426228788091,1.44507726570805,145740,7604,TRUE,NA
"gene_mean","gene_dataset_block",1,0.357442451923156,2.51657143786484,1.9352397286757,145740,7604,TRUE,NA
"batch_mean","gene_dataset_block",1,0.357442451923156,2.51657143786484,1.9352397286757,145740,7604,TRUE,NA
"softimpute","gene_dataset_block",2,0.813682458981098,1.53439365267057,1.16923148618083,145742,7391,TRUE,NA
"missmda","gene_dataset_block",2,0.668633323261314,2.22347072760129,1.60440949275984,145742,7391,TRUE,NA
"knn","gene_dataset_block",2,0.693561358754236,1.97818918851517,1.53319245002252,145742,7391,TRUE,NA
"gene_mean","gene_dataset_block",2,0.355752797647835,2.55184120424855,1.96372575234396,145742,7391,TRUE,NA
"batch_mean","gene_dataset_block",2,0.355752797647835,2.55184120424855,1.96372575234396,145742,7391,TRUE,NA
"softimpute","gene_dataset_block",3,0.817986145395988,1.52029961711743,1.16947333511896,145763,7460,TRUE,NA
"missmda","gene_dataset_block",3,0.677066056295254,2.19587246453648,1.60302116154991,145763,7460,TRUE,NA
"knn","gene_dataset_block",3,0.679641371028425,1.93806473476362,1.49598228677785,145763,7460,TRUE,NA
"gene_mean","gene_dataset_block",3,0.358064445653603,2.55985659684411,1.97862786063691,145763,7460,TRUE,NA
"batch_mean","gene_dataset_block",3,0.358064445653603,2.55985659684411,1.97862786063691,145763,7460,TRUE,NA
"softimpute","gene_dataset_block_hard",1,0.853048613620349,1.52250109248761,1.13557751011978,145726,8595,TRUE,NA
"missmda","gene_dataset_block_hard",1,0.719970231447632,2.28718107019801,1.64032806894485,145726,8595,TRUE,NA
"knn","gene_dataset_block_hard",1,0.698344226134627,2.06163135401887,1.64463190617217,145726,8595,TRUE,NA
"gene_mean","gene_dataset_block_hard",1,0.510730818377904,2.64327549453821,2.03260384719601,145726,8595,TRUE,NA
"batch_mean","gene_dataset_block_hard",1,0.510730818377904,2.64327549453821,2.03260384719601,145726,8595,TRUE,NA
"softimpute","gene_dataset_block_hard",2,0.846305229491829,1.53420372936409,1.14529542404839,145738,8529,TRUE,NA
"missmda","gene_dataset_block_hard",2,0.722124374108486,2.28685242991003,1.64655661671942,145738,8529,TRUE,NA
"knn","gene_dataset_block_hard",2,0.721414234406449,1.95981348394101,1.56319342774402,145738,8529,TRUE,NA
"gene_mean","gene_dataset_block_hard",2,0.491515870438731,2.67084740775111,2.04270033469469,145738,8529,TRUE,NA
"batch_mean","gene_dataset_block_hard",2,0.491515870438731,2.67084740775111,2.04270033469469,145738,8529,TRUE,NA
"softimpute","gene_dataset_block_hard",3,0.849650708934,1.53199553098342,1.13079216167724,145734,8570,TRUE,NA
"missmda","gene_dataset_block_hard",3,0.712609603886341,2.30327809969562,1.64398488850005,145734,8570,TRUE,NA
"knn","gene_dataset_block_hard",3,0.679118604191404,2.09501567045244,1.66519799663832,145734,8570,TRUE,NA
"gene_mean","gene_dataset_block_hard",3,0.504248557402288,2.63896859632448,2.02030752434865,145734,8570,TRUE,NA
"batch_mean","gene_dataset_block_hard",3,0.504248557402288,2.63896859632448,2.02030752434865,145734,8570,TRUE,NA
