"","none_combat","none_combat_ref","softimpute_combat","softimpute_combat_ref"
"none_combat",221,220,220,216
"none_combat_ref",220,221,220,216
"softimpute_combat",220,220,416,412
"softimpute_combat_ref",216,216,412,447
