"gene","n_datasets_with_gene","non_imputed_First.trimester","non_imputed_Second.trimester","in_both_groups"
"340307",1,42,7,TRUE
"342931",1,42,7,TRUE
"343066",1,42,7,TRUE
"344",1,42,7,TRUE
"344167",1,42,7,TRUE
"344787",1,42,7,TRUE
"344805",1,42,7,TRUE
"3481",1,42,7,TRUE
"349334",1,42,7,TRUE
"353376",1,42,7,TRUE
"359787",1,42,7,TRUE
"3688",1,42,7,TRUE
"374928",1,42,7,TRUE
"375307",1,42,7,TRUE
"375519",1,42,7,TRUE
"375593",1,42,7,TRUE
"375611",1,42,7,TRUE
"3856",1,42,7,TRUE
"386617",1,42,7,TRUE
"3875",1,42,7,TRUE
"387522",1,42,7,TRUE
"387700",1,42,7,TRUE
"387748",1,42,7,TRUE
"387804",1,42,7,TRUE
"388121",1,42,7,TRUE
"388324",1,42,7,TRUE
"388372",1,42,7,TRUE
"388555",1,42,7,TRUE
"388561",1,42,7,TRUE
"388564",1,42,7,TRUE
"388677",1,42,7,TRUE
"388701",1,42,7,TRUE
"388818",1,42,7,TRUE
"389015",1,42,7,TRUE
"389125",1,42,7,TRUE
"389524",1,42,7,TRUE
"390075",1,42,7,TRUE
"391195",1,42,7,TRUE
"3921",1,42,7,TRUE
"392255",1,42,7,TRUE
"3939",1,42,7,TRUE
"399687",1,42,7,TRUE
"400720",1,42,7,TRUE
"400746",1,42,7,TRUE
"400818",1,42,7,TRUE
"400966",1,42,7,TRUE
"401720",1,42,7,TRUE
"402317",1,42,7,TRUE
"4034",1,42,7,TRUE
"404636",1,42,7,TRUE
"404734",1,42,7,TRUE
"414059",1,42,7,TRUE
"414060",1,42,7,TRUE
"414062",1,42,7,TRUE
"414189",1,42,7,TRUE
"440",1,42,7,TRUE
"440093",1,42,7,TRUE
"440138",1,42,7,TRUE
"440270",1,42,7,TRUE
"440400",1,42,7,TRUE
"440533",1,42,7,TRUE
"440563",1,42,7,TRUE
"440567",1,42,7,TRUE
"440585",1,42,7,TRUE
"440689",1,42,7,TRUE
"441234",1,42,7,TRUE
"441250",1,42,7,TRUE
"441282",1,42,7,TRUE
"441294",1,42,7,TRUE
"441452",1,42,7,TRUE
"441518",1,42,7,TRUE
"441531",1,42,7,TRUE
"4439",1,42,7,TRUE
"445328",1,42,7,TRUE
"445571",1,42,7,TRUE
"445582",1,42,7,TRUE
"4489",1,42,7,TRUE
"4493",1,42,7,TRUE
"4496",1,42,7,TRUE
"4580",1,42,7,TRUE
"468",1,42,7,TRUE
"4681",1,42,7,TRUE
"4725",1,42,7,TRUE
"4729",1,42,7,TRUE
"4736",1,42,7,TRUE
"4831",1,42,7,TRUE
"4904",1,42,7,TRUE
"493901",1,42,7,TRUE
"497661",1,42,7,TRUE
"4983",1,42,7,TRUE
"5032",1,42,7,TRUE
"503834",1,42,7,TRUE
"503835",1,42,7,TRUE
"50801",1,42,7,TRUE
"51025",1,42,7,TRUE
"51030",1,42,7,TRUE
"51072",1,42,7,TRUE
"51074",1,42,7,TRUE
"51119",1,42,7,TRUE
"51121",1,42,7,TRUE
"51131",1,42,7,TRUE
"51194",1,42,7,TRUE
"51241",1,42,7,TRUE
"51326",1,42,7,TRUE
"51351",1,42,7,TRUE
"51372",1,42,7,TRUE
"51463",1,42,7,TRUE
"51478",1,42,7,TRUE
"51480",1,42,7,TRUE
"51481",1,42,7,TRUE
"51622",1,42,7,TRUE
"51631",1,42,7,TRUE
"51652",1,42,7,TRUE
"5222",1,42,7,TRUE
"5223",1,42,7,TRUE
"5343",1,42,7,TRUE
"53916",1,42,7,TRUE
"5395",1,42,7,TRUE
"54065",1,42,7,TRUE
"5413",1,42,7,TRUE
"541578",1,42,7,TRUE
"5442",1,42,7,TRUE
"54458",1,42,7,TRUE
"54469",1,42,7,TRUE
"54470",1,42,7,TRUE
"54471",1,42,7,TRUE
"54537",1,42,7,TRUE
"54627",1,42,7,TRUE
"54659",1,42,7,TRUE
"54793",1,42,7,TRUE
"548593",1,42,7,TRUE
"548596",1,42,7,TRUE
"548644",1,42,7,TRUE
"54967",1,42,7,TRUE
"55113",1,42,7,TRUE
"55154",1,42,7,TRUE
"55205",1,42,7,TRUE
"55217",1,42,7,TRUE
"552891",1,42,7,TRUE
"552900",1,42,7,TRUE
"55299",1,42,7,TRUE
"553158",1,42,7,TRUE
"55340",1,42,7,TRUE
"554313",1,42,7,TRUE
"55437",1,42,7,TRUE
"55582",1,42,7,TRUE
"55627",1,42,7,TRUE
"55672",1,42,7,TRUE
"55741",1,42,7,TRUE
"55765",1,42,7,TRUE
"55798",1,42,7,TRUE
"55861",1,42,7,TRUE
"55871",1,42,7,TRUE
"55889",1,42,7,TRUE
"55901",1,42,7,TRUE
"55964",1,42,7,TRUE
"55969",1,42,7,TRUE
"55973",1,42,7,TRUE
"5612",1,42,7,TRUE
"56147",1,42,7,TRUE
"5675",1,42,7,TRUE
"5676",1,42,7,TRUE
"56893",1,42,7,TRUE
"56924",1,42,7,TRUE
"5700",1,42,7,TRUE
"57048",1,42,7,TRUE
"5706",1,42,7,TRUE
"5721",1,42,7,TRUE
"5738",1,42,7,TRUE
"57412",1,42,7,TRUE
"57456",1,42,7,TRUE
"5756",1,42,7,TRUE
"5757",1,42,7,TRUE
"57665",1,42,7,TRUE
"57730",1,42,7,TRUE
"578",1,42,7,TRUE
"5790",1,42,7,TRUE
"58516",1,42,7,TRUE
"5869",1,42,7,TRUE
"5872",1,42,7,TRUE
"5908",1,42,7,TRUE
"59286",1,42,7,TRUE
"5954",1,42,7,TRUE
"5959",1,42,7,TRUE
"60",1,42,7,TRUE
"6048",1,42,7,TRUE
"6128",1,42,7,TRUE
"6129",1,42,7,TRUE
"6130",1,42,7,TRUE
"6133",1,42,7,TRUE
