"","none_combat","none_combat_ref","softimpute_combat","softimpute_combat_ref"
"none_combat",412,412,410,408
"none_combat_ref",412,426,420,421
"softimpute_combat",410,420,459,452
"softimpute_combat_ref",408,421,452,474
