GSM2668701	GSM2668702	GSM2668703	GSM2668704	GSM2668705	GSM2668706	GSM2668707	GSM2668708	GSM2668709	GSM2668710	GSM2668711	GSM2668712	GSM2668713	GSM2668714	GSM2668715	GSM2668716	GSM2668717	GSM2668718	GSM2668719	GSM2668720	GSM2668721	GSM2668722	GSM2668723	GSM2668724	GSM2668725	GSM2668726	GSM2668727	GSM2668728	GSM2668729	GSM2668730	GSM2668731	GSM2668732	GSM2668733	GSM2668734	GSM2668735	GSM2668736	GSM2668737	GSM2668738	GSM2668739	GSM2668740	GSM2668741	GSM2668742	GSM2668743	GSM2668744	GSM2668745	GSM2668746	GSM2668747	GSM2668748	GSM2668749	GSM252349	GSM252350	GSM252351	GSM252352	GSM252353	GSM252354	GSM252355	GSM252356
10	6.79620867640494	6.51613458974997	6.30658241484264	7.31775075268717	7.42199248219188	6.33198056510745	6.69083388049193	6.8731469161305	7.63470776478705	6.77045637636176	7.123413972563	7.35539068002574	7.01665832540138	6.88820068519749	6.9433347249098	6.35915385609213	6.7720653797675	6.40568818553038	8.1902286077071	6.76637994375129	6.35785431023403	6.45227399321632	6.93980937321722	6.84122960645315	7.31886993976877	6.87668573535115	6.11713606017812	6.54476238945133	6.44373530713655	6.3303697884762	6.91068892596781	6.51285079878568	6.13242576965951	6.59302453454545	6.06441730014595	6.22782561758842	6.79335411294904	6.04038266445959	6.55314898982863	5.9954754906405	6.07831494400018	6.46008728832219	6.47442004398259	6.42692813439771	6.16545593523496	6.11263759360994	6.51936582940378	6.11975761056953	6.17864626743269	6.8072954933048	6.54282068103456	6.32192293689907	6.5913298241287	6.61509390904844	6.34811064672599	6.34646259010321	6.48541460688083
100	8.64315679881943	8.18557042041528	9.69299100139313	7.57905895916157	8.46648024697305	9.53989700342522	7.95194102766337	8.16461049675555	7.65350528597857	8.5071283195182	8.23464195821595	8.80024806498054	7.61510263945673	7.57929227819662	7.51107976503612	8.21040261454905	7.32061766504015	7.20996536507037	6.90127581616815	7.50725805768305	9.16462863106405	7.93268603222145	8.08004760673583	8.0347481596088	7.2823077527054	7.40512966385017	7.42355020811249	7.151329308818	6.47062694294692	7.84605604861847	7.23898093411388	6.64192265816761	7.30434907402218	6.39436515243368	7.39108868093059	7.99254222694023	7.41824090071201	8.3458661144194	8.21019912982047	6.85509390998306	6.71320940298805	7.01394358645956	6.68387948720478	7.41739064709635	7.01391886096364	6.98662628279807	7.6269831640025	7.70587026523283	5.98409683375218	7.37590138786719	7.42269744626325	7.35400227982319	7.83773512639577	7.29145713872775	7.28067054453953	7.79886969496601	7.0003867393339
10000	5.73008626244463	6.74229493115293	5.812567752396	6.64962190292253	6.17268522030926	6.16667237318908	6.53367219907226	6.06891612698126	7.03036912968567	6.52764726387074	6.51775977011656	6.22779853513404	6.4959171594499	6.80135728131938	6.09619781660835	5.72617307384657	6.55808517266888	6.73290889677381	6.89993974784589	6.24299823040187	6.45644518662723	5.97964896554489	6.48487482986642	6.48793349659452	6.31754220667128	6.4044546362748	5.80737698947813	6.13675427468561	6.31051347054204	6.53061921258795	6.16320025291462	5.67090571603071	6.42990909035466	6.00948488977985	6.26546887978972	6.35380456213095	6.51658888812893	5.69203645962368	5.56258061239845	6.04437512750056	5.94700250228945	6.31875134523971	5.99764824517798	6.14093754670512	5.4138727529507	5.57467727289595	6.30198796761867	5.4180108915062	6.09346238888819	6.14651364159913	6.08987297357445	6.20593455454652	6.17297800393845	6.00745192879526	6.07019749913838	6.27446622086977	6.12471589245255
10001	10.0574216494224	9.89941326992308	9.98174088800054	9.95436121677038	10.4713650276204	9.83005587065716	9.9036048308357	9.89837376756787	9.89797954695958	9.5858198995915	10.1011642414957	9.99231061830175	10.2365603587807	10.0426948976013	9.95189072783393	9.69945233836204	9.66712514173598	9.90482505657683	9.81772134169475	10.0433444460989	9.95046227842904	9.90933871025896	10.0665524660563	9.94562757545016	9.93407507602451	9.81256426410997	9.75203543602926	9.77527708754545	9.84480901629954	9.99871909103641	9.93269570518647	9.59984808031424	9.76058749845402	10.0631555983641	9.98228296821383	9.62339938647745	9.94939042170851	9.66440636471125	9.84114127991294	10.0375012537837	9.65172682751503	9.72481622178067	9.72815454114794	9.92145978543578	9.74923351256328	9.4202324410277	9.90007741754261	9.74185639606251	9.65257519779985	9.98099365277293	9.681106814291	9.6808697303095	9.80210153962064	10.059798972131	9.83097248205132	9.97797212197968	9.78201987345727
10003	6.46945710526839	6.73267874050859	6.64627836171006	6.10815992656536	6.3318991095437	6.41948940159714	7.3035744075872	6.89250338021662	7.01614783470713	7.28877412437009	6.48667117861314	6.71492165704696	6.42967112616094	6.18126544756427	7.07814194465427	7.96529898572123	6.06179903672057	6.90284934116917	6.53600571168841	7.51659744668208	7.28182014785407	6.89461932301755	6.57783123823578	6.38390558674416	6.44805305758285	7.13488396315475	6.76576755054877	6.83209223162275	7.0485338413832	6.43834963235328	6.82242078892365	6.77697405681057	6.65721022559736	6.68927596795338	6.90300236980985	6.42756265623171	6.84208815549852	6.97950690499419	6.56580040903512	7.06954767147636	7.64916452725309	6.5157878013542	6.65252992157473	6.98001683172672	6.69304042732556	6.84461248205151	6.14843588984281	6.9306910699903	7.56954133033514	6.61423616771439	6.83532730765323	6.94565633417708	6.83661375646151	6.79799944373439	7.02176846507737	6.92569263357137	6.58387777577899
100049587	5.20481430517033	5.56124812694911	4.82453200431925	4.76479584366269	4.50870754410584	4.58207005638578	5.85611438458049	5.29317385411402	6.56726869193533	6.98291033092173	6.93638599123641	4.87798327948394	6.16078237106039	7.01928956454914	7.41660711827739	7.37961274030012	7.55697801612664	7.05787450791875	5.18015945527883	6.40919924657391	7.21436312843462	6.42805435195576	6.54132877991711	7.31369944287478	6.53944252294111	7.1422836750287	6.38961668313473	7.3005359539922	7.53363630932416	7.32488524307242	7.51306688216791	7.93715868168768	7.19533132455886	6.12211936133378	7.2104325783788	7.59650150301306	6.49352895959729	7.37056147070335	6.77597999743865	6.70154980928637	6.75727963145611	7.38105390313006	7.42103279978101	7.68292107426051	7.45435221600137	7.33268188210549	7.0159538068299	6.7696360191134	4.40040266504445	6.87915829111721	6.88321847493206	6.84366488670798	6.82016543256221	6.81259038464863	6.84052186164521	6.81076434038539	6.83694873847012
10005	6.23141756510264	6.47008551813871	6.60394917499477	6.34549811021283	6.66875636773653	6.65821213395809	6.96462018609382	6.5496199777118	6.78191274454546	6.7892933066613	6.16229989180913	6.86485045625418	6.51623698628009	6.23260657716692	6.28057852076527	6.13417230420207	6.99510956032086	7.00167191910071	6.66004797332506	6.60354899911232	7.03932314197698	6.89037006336204	7.28602296600898	6.15138507264421	6.88023295591554	6.92789095014533	6.75983243324527	6.33130459203452	7.15029445099671	6.88487076884958	6.50320686336204	6.98261787342824	5.94764304968389	6.75038780866379	7.02782010906023	6.4584321791993	6.73289130033656	6.79081718291471	6.77974681696772	6.8070656441948	6.65533758342257	6.60217310121586	6.93153608826741	6.57060948094704	6.82763028023174	7.10354460923012	6.68660858779389	6.68909725381174	6.62524650593564	6.84069842932734	6.16601179867449	6.8626511350652	6.81533371256949	6.81164022579881	6.60608317789565	6.89646878190911	6.77572375740837
10006	8.56943100069167	8.6840353399271	8.04759838029163	8.44146008882042	9.02127155130548	8.87346654742555	8.91672008771478	8.84709193314172	8.85014543961536	9.03950338248786	8.69599421702399	8.94811368749069	8.79550875501658	8.53081728241355	8.77741515290978	9.10013842518837	8.67859009610918	8.83296503993579	9.38719997629276	8.89932712032517	8.88695154577952	8.80865985797379	8.79791290655677	9.05183111354748	8.91017203692794	8.94214367785119	8.84659958827744	9.0361331919368	9.10597976299358	8.73396794861291	8.92884005562132	8.56018776476753	8.69378822496484	8.67376247022791	8.94469609892947	9.23006729097836	9.00036403160897	8.97280825229387	8.97861248637737	9.22077757977223	9.15935933886717	8.90266455236718	8.83857564668354	9.10177978376355	8.93173239768922	8.80585682230308	8.78494159525547	9.11163601303972	9.12998875366526	8.92383638801526	8.43493407188821	8.75816375478993	8.9329956381986	9.23208442538926	8.92123227069731	9.32537221653523	9.09657634930014
10007	9.63898065770739	9.01229698135955	9.52312588695036	9.91348280920656	10.0673574222979	9.62105612915948	9.8418728808156	9.84976776796827	9.80766776592749	10.1628781600655	9.81927557832091	9.74793900974316	9.99605167670029	9.64366796670608	9.72859251859398	10.1446033987927	9.88399225904528	10.1657092985397	9.75749221202468	10.1982692983822	10.0693846501729	10.3212282490812	10.2225403330763	10.0135932308491	10.1355202914164	9.81808835411188	10.1510471885702	10.4015738260751	10.2106350621715	10.0046616032725	9.98872362978966	10.1451510930075	10.2899206575245	10.0653918094862	10.5959307920026	10.2546381839371	9.73546408333523	9.88944995954921	10.1197902107356	10.4797092627867	10.1047511951902	10.1301004167373	10.253136786607	10.0956526402428	10.1672798328421	10.0518940328027	10.1490438410529	10.3718837059769	10.2175000515798	10.1343635630801	9.82101622893056	9.96643551513774	9.97214045166853	10.548926398013	9.94586144367116	10.0922007414688	10.5033152611473
10009	10.2810162514671	10.0307638518494	10.0073645886826	10.2921817742785	10.4383395852632	10.1773916292854	10.1795565530459	10.2101144380815	10.3357106920689	10.3253349571034	10.1155104050341	10.0162161120779	10.0592268829023	10.2221567145707	10.0810792865979	10.1975157900671	10.1714201742791	9.95681054026083	10.262669852421	10.3281301428891	10.1592202444209	9.91371979852566	10.1197269625183	9.93461759696954	10.0673623959097	10.1650604342126	9.81078309899646	10.1839188352236	9.71129472343047	10.0436377220618	10.1817135638951	9.72204709097826	9.82282184370148	9.96641107675311	9.94143018430902	9.99433114381592	9.88081731563149	10.0874746109909	9.95863546901969	9.78768171827653	9.73080329392199	9.95913397954995	9.9563592519513	9.85277557700543	9.70488894511052	9.70436363244308	10.1060571926097	9.70462547810896	9.8240790732609	9.83199909596393	10.1179339301034	9.99577881678722	9.99945519522375	10.0291287250546	9.91151480589757	9.9698038480226	9.9025777688209
