GSM2668701	GSM2668702	GSM2668703	GSM2668704	GSM2668705	GSM2668706	GSM2668707	GSM2668708	GSM2668709	GSM2668710	GSM2668711	GSM2668712	GSM2668713	GSM2668714	GSM2668715	GSM2668716	GSM2668717	GSM2668718	GSM2668719	GSM2668720	GSM2668721	GSM2668722	GSM2668723	GSM2668724	GSM2668725	GSM2668726	GSM2668727	GSM2668728	GSM2668729	GSM2668730	GSM2668731	GSM2668732	GSM2668733	GSM2668734	GSM2668735	GSM2668736	GSM2668737	GSM2668738	GSM2668739	GSM2668740	GSM2668741	GSM2668742	GSM2668743	GSM2668744	GSM2668745	GSM2668746	GSM2668747	GSM2668748	GSM2668749	GSM252349	GSM252350	GSM252351	GSM252352	GSM252353	GSM252354	GSM252355	GSM252356
10	6.79765061023081	6.52001817217105	6.3130111407874	7.31483604206549	7.4181690060523	6.33765966772444	6.69338454768721	6.87410820255631	7.62778336393658	6.77178469960433	7.12166525847867	7.35161962389377	7.01512199726935	6.88725602803289	6.94262771209316	6.36353965430536	6.77213317473207	6.40895000809068	8.17812313441028	6.76596909795445	6.36172323207945	6.45460148127261	6.9380766826761	6.83963802562766	7.3131143541159	6.87550334827996	6.12257532604001	6.54594546027808	6.44579911861503	6.33270360988659	6.90868189797283	6.51431207061078	6.13667533059886	6.59325865678188	6.06854145430211	6.23052519979115	6.7918417885951	6.04490643929885	6.55320253611886	5.99967246467667	6.08178973471215	6.46095213413486	6.47410352746872	6.42702564602798	6.16783292668216	6.11547504832659	6.5179391859522	6.12075828709025	6.17985185604897	6.80978148456829	6.46636728579941	6.20412934771396	6.55394772749315	6.73852155756122	6.36725771341982	6.36511775143335	6.54554361164815
100	8.6293393012807	8.18223705104166	9.65727433114333	7.58920457562345	8.45629344324727	9.50511628829747	7.9535432442752	8.16134007275569	7.65721907895744	8.49343849109754	8.2271952831538	8.77984233520402	7.61969630624089	7.58213472072655	7.51763949901463	8.20093960237709	7.32938680889989	7.22126975243691	6.91923555290102	7.50917922982313	9.13073087790181	7.9248598831549	8.06842785432767	8.02201187922774	7.28681123739361	7.40897349722187	7.42697199363479	7.15841646135126	6.49331021280993	7.83507134025056	7.24405983002751	6.66068123464536	7.30535856397017	6.41622401315052	7.38795639033996	7.97562955223127	7.41664092376079	8.32044086878541	8.18788225917629	6.8616705209305	6.72303684356282	7.01903508509105	6.69138994061467	7.40809503858267	7.01386751783123	6.98720026179269	7.6107309934911	7.68266724086584	6.00249715997947	7.24828716245798	7.30596009111483	7.24315376948295	7.83932128669646	7.387827172699	7.35267768208192	7.99132255211876	7.00724713824243
10000	5.73567351463991	6.74053233707812	5.81657534092077	6.64726782958967	6.17379427805415	6.16782509139978	6.53216005934925	6.07077867252676	7.02594747818135	6.52589522538617	6.51607952666926	6.22822375725652	6.49537626884144	6.79831488289707	6.09729497043588	5.72995705012436	6.55680922088514	6.73036351553718	6.89491712639338	6.24372653989007	6.45464286643013	5.98228950585256	6.48258242943564	6.48659963592873	6.31744559068182	6.40274618269034	5.81000403414707	6.13670599908866	6.30920349524122	6.52869175553968	6.16295994786717	5.67424005846214	6.42744851296899	6.01007709522244	6.26518308446825	6.35287734404218	6.51349891167955	5.69465007356633	5.56613423071498	6.04541109040779	5.94874550698396	6.31681425910751	5.99747545782167	6.13972430754186	5.4179388742866	5.57757576097828	6.30058605901235	5.42246042034718	6.09202658218277	6.11362971800378	6.03954841318511	6.14975784383743	6.10665340392679	5.99239948307829	6.11605500392277	6.38322158170589	6.18736054911111
10001	10.0535442811034	9.91016228844939	9.98107960786234	9.95516238900906	10.4243086257104	9.8423636356788	9.90910437753973	9.90435753893904	9.9067172691217	9.6196638886551	10.087304268737	9.98852691622814	10.2139566169788	10.0369647248256	9.95077657418946	9.7217056893444	9.69616039440228	9.91185710334621	9.82795486098515	10.0364821404508	9.94840834627516	9.91488093491554	10.0526803889911	9.94673863692647	9.93625551955617	9.82220315340989	9.76727730700399	9.78729553884738	9.85039109447189	9.99384361571568	9.93014236222299	9.62810549648491	9.7728937172772	10.0474539476657	9.97785693208056	9.65219418404646	9.94421969024716	9.68454379185591	9.84491885799765	10.0268918117974	9.67682742832215	9.73936168005907	9.74024696865925	9.91565849559398	9.75937471956844	9.46082834265131	9.90004489767927	9.75432593468239	9.66951977840497	9.98600875969889	9.64885853092196	9.64350517265787	9.77980102495736	10.0817510946511	9.82957785791647	9.99484340435678	9.77454248767395
10003	6.47284270008036	6.73611850197835	6.64967895738974	6.11144687116278	6.33523209596343	6.42284041264988	7.30710734870785	6.89595172972061	7.01964009900486	7.29230110462636	6.49003309935318	6.71833054795929	6.43304270325473	6.18458299166808	7.08162266508172	7.96896226839058	6.06509199661349	6.9063153753004	6.53937195423727	7.5201868648086	7.28533986667514	6.89808074833624	6.5812031725751	6.38725900041424	6.45141967174117	7.13837052972897	6.76917815907195	6.83551357345706	7.05199972331999	6.44171133449628	6.82584014053506	6.78038405623638	6.66059266439714	6.69266500535243	6.90645677458805	6.43091922338253	6.84550863911764	6.98295275190755	6.56916112199599	7.07303343331137	7.65276956464782	6.51913822254782	6.65590265161252	6.98345695315268	6.69642149375523	6.84802473950244	6.15172627169015	6.93413659659017	7.57309693572791	6.54321527819073	6.84605921859321	7.03561284496184	6.8862496279819	6.78883131574396	7.05691506609138	6.92531330494088	6.45710567594861
10005	6.23815404433886	6.47106299720504	6.60124656008602	6.34945612061191	6.66491423431104	6.65462443035172	6.95363893005672	6.5486525766568	6.77621443465377	6.78296690937871	6.17110269447452	6.85670088316685	6.51694936838757	6.24058715609083	6.28695155204868	6.14407808219628	6.98469112608164	6.99109513672616	6.6576887616195	6.60300309024034	7.0278121118856	6.88290323135509	7.26898339205758	6.16217403373322	6.87343499328819	6.91949301540005	6.75548970999809	6.33772640570914	7.13695423681252	6.87838516033491	6.50548071667087	6.97332365463816	5.96374678730496	6.74712150877233	7.01830943084851	6.46266069446995	6.73004718697308	6.78699959538982	6.77619635470433	6.80330598142262	6.65523908217899	6.60290744990499	6.92517151432159	6.5729539790255	6.82377292838474	7.09302951114042	6.68660405159492	6.68988119354316	6.62712115261418	6.88808388579658	6.05936564601953	6.91079082760151	6.85267079186954	6.81401405827781	6.5657857257386	6.92246664348818	6.77415541332602
10006	8.57774715220983	8.68673745135661	8.08016622351765	8.45639258243486	9.00780123909287	8.867236652309	8.9083713626239	8.842154032228	8.84802737495744	9.02679843047956	8.700116500691	8.93988557654116	8.79606713821127	8.54600038558948	8.77920739769466	9.08612165785212	8.68653435906639	8.83334704888843	9.36077960160926	8.89811676768618	8.88503648007398	8.81189095710672	8.80201798220255	9.04480862757714	8.91008890194873	8.93918342475407	8.84831968456916	9.03022721208446	9.09665225955338	8.7441748659571	8.92818996723461	8.57759658020093	8.70631092080186	8.68726615326531	8.94623869816261	9.21763061749815	8.99786871957484	8.97332126510753	8.97884117136325	9.21045444443881	9.15204485459283	8.90661364400631	8.84898115484196	9.09929190073871	8.93757450329097	8.81786510390752	8.79928538240758	9.11329319596204	9.12943595771365	8.94396128413412	8.37154667874328	8.74541784080346	8.95011378976908	9.25113526785967	8.89175591263328	9.3649293871467	9.09705154787625
10007	9.65178543513593	9.05691677563587	9.53819028701006	9.91113391972677	10.0571967394162	9.6335529427091	9.84315943161327	9.85065351693043	9.81671688835139	10.1502722146265	9.82411339652173	9.75639839049112	9.99553706303005	9.66344697468684	9.74043813194103	10.1353292771571	9.89157065976871	10.1589856954036	9.77027473108839	10.1922967772138	10.0663332428893	10.3090134381649	10.2141176946491	10.0194002728493	10.1351374299093	9.83019863685446	10.1462540616218	10.3864662108376	10.2052208859364	10.0133261437233	9.99457529025399	10.1430613588488	10.2828854325243	10.0697553002222	10.5769822764542	10.2530161609805	9.75657710268058	9.90514960110637	10.1237961075076	10.4690650606564	10.1131425889881	10.1335828925395	10.255181170578	10.1056920637513	10.1736829396164	10.0641549611716	10.1599947465962	10.3763297691155	10.226161743431	10.1705207253719	9.80454849056832	9.96240807601634	9.96907112415509	10.5751250188849	9.88276078105172	10.0536769306974	10.5338357931792
10009	10.2808293302749	10.0455235817466	10.0239726400173	10.2900257835217	10.4274541285427	10.1820916297132	10.1841272505774	10.2128600260582	10.3287511459272	10.3194458851847	10.1221533782608	10.0287895665078	10.0687806930113	10.2202263638367	10.0880257392376	10.197507920614	10.1725201296136	9.97072833600366	10.2570176075223	10.3181174268172	10.159746662338	9.9284582809818	10.1208592041664	9.94635496708637	10.0711714097082	10.1634850751139	9.83036741599465	10.1794641694583	9.73506814940857	10.0471107589007	10.1773906108372	9.74517831777518	9.83818120284355	9.97319438159999	9.94925473563731	9.99899611631399	9.89271281954169	10.0852742742348	9.96413021812344	9.80293613328487	9.74945484703826	9.96459895446184	9.9584840229686	9.86108701816193	9.72203310831524	9.72153917063228	10.0987902888853	9.71782867918913	9.83059852242512	9.78397495147942	10.1141628350577	9.9742702990124	9.97851565659132	10.0513918795517	9.91440723965506	9.98171745568031	9.90408705125729
1001	7.75616350868274	8.28218917607301	8.23675243774213	8.41004315580753	7.98646655698685	7.18247562820767	8.16814078286715	7.95865150547808	6.78305778628226	8.02561720062233	7.7290680684298	8.15849820997606	7.96919594077453	7.81361620277165	7.77332662738632	8.42747324036796	7.21604736797012	7.78467994330319	7.0277709154945	7.97768425872877	7.83707143640234	7.54979022709387	8.33613071572115	7.30688179878776	6.4243633138278	7.30370205723835	6.82162029998942	6.88085279014662	7.81413385617443	7.25371329253429	7.55966361978948	6.94523876933465	7.09074842860442	7.88034333523725	7.15620954950438	7.79043918538287	7.47534845918715	7.6495031447343	6.48518604288179	7.79541116883017	7.1139731260161	7.44130115848339	7.65619818021823	7.66573542617422	7.27105439237875	7.45989396340234	7.74367347380869	8.14630405396727	7.05678404097206	7.372717839316	7.55333070144465	7.49848600780943	7.51916215936207	7.29128614285779	7.24724402123672	8.13123070185751	7.44241121411759
