"ENTREZID","SYMBOL","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B","trim_termSecond.Trimester...trim_termFirst.Trimester","First.Trimester_Average","Second.Trimester_Average"
1,"A1BG","alpha-1-B glycoprotein",-0.14191253142728,4.1349265516274,-1.92393463674023,0.0677225125322379,0.180626732111606,-4.82865423946971,0,4.19252348071676,4.0517309873872
10,"NAT2","N-acetyltransferase 2",-0.0819043959018186,4.66379271105187,-0.881547335295668,0.38778571856632,0.568971427610414,-6.18728858611104,0,4.69739761847231,4.61525228922233
100,"ADA","adenosine deaminase",-0.158217162879182,5.2984069672256,-1.23553775546982,0.22998137841005,0.404964721233179,-5.82246557226445,0,5.36370842978143,5.20408263242274
1000,"CDH2","cadherin 2",-0.359009814812206,4.42819358007616,-3.95569705751634,0.000697846934952471,0.00825398525923644,-0.58262155154161,-1,4.57395651840651,4.21764711359899
10000,"AKT3","AKT serine/threonine kinase 3",0.0275437411747435,4.96631492869927,0.7036973869744,0.489184373334115,0.657814741725224,-6.32779010015174,0,4.95490133046693,4.98280123725711
10001,"MED6","mediator complex subunit 6",0.117172827767548,6.63384312778274,1.4913562825658,0.150417482726471,0.307001976178204,-5.49361808199805,0,6.5864674298287,6.70227469149411
10002,"NR2E3","nuclear receptor subfamily 2 group E member 3",-0.0576119675637075,3.40997303721789,-1.05053559080834,0.305155036400358,0.487636737322159,-6.02683030905473,0,3.43308863711198,3.37658383737086
10003,"NAALAD2","N-acetylated alpha-linked acidic dipeptidase 2",-0.0456449917160651,3.20355058064582,-0.599596025041035,0.555051910359528,0.710731641015889,-6.39605964511463,0,3.22211124441796,3.17674073297495
10004,"NAALADL1","N-acetylated alpha-linked acidic dipeptidase like 1",-0.0884997120635536,4.19865208321426,-1.75378906395215,0.0937344096583774,0.223887907966954,-5.10530151730417,0,4.23406154346358,4.14750508507636
10005,"ACOT8","acyl-CoA thioesterase 8",-0.026746327335025,5.97152353159072,-0.298759181432528,0.767996709849792,0.863266648447525,-6.53334816687199,0,5.98295463722662,5.95501193456108
10006,"ABI1","abl interactor 1",0.299316076964334,7.56450752261169,3.26629271551555,0.00361388282049134,0.0250807960974625,-2.15201286429283,1,7.44160714312045,7.74203029298792
10007,"GNPDA1","glucosamine-6-phosphate deaminase 1",0.282900499719752,7.17986405220711,2.9888200306577,0.00688740421130749,0.0385911771917315,-2.75869553415315,1,7.0655523388806,7.34498097145651
10008,"KCNE3","potassium voltage-gated channel subfamily E regulatory subunit 3",0.382239912205951,4.8922875826926,4.07554842173438,0.000522625681821754,0.00685810812136694,-0.304389573034368,1,4.73663812729573,5.1171145738214
10009,"ZBTB33","zinc finger and BTB domain containing 33",-0.00537237736139762,6.77975846510692,-0.0829624218375675,0.934650156831888,0.965333477472136,-6.57554244492713,0,6.78213679782715,6.77632309562214
1001,"CDH3","cadherin 3",-0.0339489789091152,7.17228995939933,-0.270124933439268,0.789643989404268,0.877381790281474,-6.5416790658207,0,7.1875224685166,7.15028744622993
10010,"TANK","TRAF family member associated NFKB activator",0.356561871957498,7.57983412531163,5.69230855008769,1.09905960998536e-05,0.000552859751680692,3.44008439698778,1,7.43442257953334,7.78987302476916
100101467,"ZSCAN30","zinc finger and SCAN domain containing 30",-0.060402174299953,5.20054073966887,-1.4040133784141,0.174617242227858,0.337394616133762,-5.61167595075962,0,5.22499435335691,5.16521885323058
10011,"SRA1","steroid receptor RNA activator 1",-0.0191476899568412,7.09257687921089,-0.217743046605882,0.829685713910117,0.901934877644216,-6.55476171374474,0,7.10134227238461,7.07991575573773
100113407,"TMEM170B","transmembrane protein 170B",0.090814921903021,3.23280839644454,1.23394919275991,0.230561015860682,0.405714499075324,-5.82434351279485,0,3.19617858693122,3.28571812129712
100125288,"ZGLP1","zinc finger GATA like protein 1",-0.0369557799561306,5.50464382710634,-0.447737401138084,0.658828356586126,0.79069549418265,-6.47664249729655,0,5.5194441175871,5.48326562974524
100127983,"C8orf88","chromosome 8 open reading frame 88",0.0445168805854266,4.19315242587001,0.28115912165618,0.781280530558657,0.872342380119527,-6.53856732872098,0,4.17448693839555,4.22011368555533
100128071,"FAM229A","family with sequence similarity 229 member A",-0.078405824081857,4.44123974948381,-0.914282434724853,0.370724030673586,0.553640420540836,-6.15822130582527,0,4.47271625294265,4.39577368893215
100128731,"OST4","oligosaccharyltransferase complex subunit 4, non-catalytic",-0.397742952591699,9.57000283794718,-4.24821903646484,0.000344395268542834,0.00518383509408119,0.097817436344215,-1,9.73341208825378,9.33396725417098
100128927,"ZBTB42","zinc finger and BTB domain containing 42",0.169656296631233,3.70065359726568,3.48377418880901,0.00216191024714353,0.0177986442573649,-1.66460581691215,1,3.63180277160626,3.80010478988483
100129098,"LOC100129098","uncharacterized LOC100129098",-0.0326060304618601,4.55526044586176,-0.753191322805341,0.459516161693433,0.632662201146416,-6.29168154343552,0,4.56849285265116,4.53614696938817
100129128,"KHDC1L","KH domain containing 1 like",0.123287057347186,3.06710120684537,1.776422561937,0.0898395674402946,0.21790476156108,-5.06957792012395,0,3.01675941710941,3.13981712535287
100129250,"SMIM27","small integral membrane protein 27",-0.0706208859384727,5.72023906522,-1.51101967324887,0.145364616036252,0.299927620550269,-5.46624281974851,0,5.74976494572213,5.67759057116137
100129271,"KPLCE","KPRP N-terminal and LCE C-terminal like protein",0.000627788721433209,3.7231259596813,0.00867876521551332,0.993155583024722,0.997202516434371,-6.57903677098028,0,3.72268753543647,3.72375923914605
100129361,"SMIM10L1","small integral membrane protein 10 like 1",0.0580381182537124,4.48211142449496,1.06508953442313,0.298669105987529,0.481564121949175,-6.0118205237111,0,4.45859159531478,4.51608451108855
100129528,"MUC8","mucin 8",-0.150576369949815,6.92338195257835,-1.37691490438152,0.182729241034108,0.347988202112727,-5.64710765839956,0,6.98374752777526,6.83618723284948
100129654,"TCF24","transcription factor 24",-0.0113593500888491,2.42346671730774,-0.354959852055785,0.726083246099875,0.835153732706173,-6.51458220673478,0,2.42814095495002,2.41671504071335
100129792,"CCDC152","coiled-coil domain containing 152",-0.00180215555130436,2.73827079418564,-0.0356425714801153,0.971896718872477,0.984924694696907,-6.57842324730008,0,2.73928256766816,2.73680934359978
