"ENTREZID","SYMBOL","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B","trim_termSecond.Trimester...trim_termFirst.Trimester","First.Trimester_Average","Second.Trimester_Average"
10082,"GPC6","glypican 6",-1.83540012268936,5.02462685090907,-7.30761221103602,2.97837042095233e-07,5.77671110155785e-05,6.93753896461626,-1,5.77418752220875,3.94192810347619
10103,"TSPAN1","tetraspanin 1",-2.03334500696797,6.18008231020073,-4.11766677913668,0.000472089661603928,0.00639372234876817,-0.206406485502552,-1,7.01399032140633,4.9755485162371
10148,"EBI3","Epstein-Barr virus induced 3",1.90629124373998,8.77618160210653,3.92181846291687,0.000757209521620496,0.00878089805060121,-0.661084546784231,1,8.00137242186603,9.89535041800947
10158,"PDZK1IP1","PDZK1 interacting protein 1",-1.51855521858941,5.03946530238718,-3.03163839389953,0.00624073292876976,0.0361288187534355,-2.66637026967924,-1,5.66196794052997,4.14029482506983
10161,"LPAR6","lysophosphatidic acid receptor 6",1.19352764019374,7.37119769209181,5.37250108799064,2.32690383607112e-05,0.000906642281204556,2.71091562621371,1,6.88244181950409,8.07717839694074
10166,"SLC25A15","solute carrier family 25 member 15",-1.18323774556269,5.77800350474941,-8.0023570161797,7.00309323469312e-08,2.67716362317202e-05,8.32973973521429,-1,6.26340467695594,5.07686847822888
10406,"WFDC2","WAP four-disulfide core domain 2",-1.86779714400252,5.02414206800095,-4.07344100650818,0.000525291298653515,0.00686862005895049,-0.309289683988319,-1,5.7898149094286,3.91817018593878
10437,"IFI30","IFI30 lysosomal thiol reductase",1.04971861286243,9.85756437607362,4.24790979662352,0.00034465268914778,0.00518383509408119,0.0970960805458843,1,9.43459658936215,10.468517845768
10457,"GPNMB","glycoprotein nmb",1.58744317428561,9.91333881735111,6.32504418754613,2.57343145712568e-06,0.000211952417694404,4.85042116392309,1,9.26970871088484,10.8430267489135
10551,"AGR2","anterior gradient 2, protein disulphide isomerase family member",-1.8150017344688,5.8659938707045,-4.0629068615036,0.000538820066091272,0.00695795625180067,-0.333779621572041,-1,6.60928536907116,4.79235059528599
10563,"CXCL13","C-X-C motif chemokine ligand 13",-2.18103781673235,3.92142301568867,-4.30248430022861,0.000302075228172786,0.00478705474599363,0.224441755963882,-1,4.8146481559461,2.6312089242057
10630,"PDPN","podoplanin",1.12790329063867,6.61212771120685,7.35050975477131,2.71860453777825e-07,5.5414728958605e-05,7.02555055658317,1,6.14896253316168,7.28114407949431
10647,"SCGB1D2","secretoglobin family 1D member 2",-1.99863625361483,4.0985925056193,-4.10687569045495,0.000484553462018227,0.00652199531807789,-0.231519473129861,-1,4.9154323326873,2.91871275540996
10673,"TNFSF13B","TNF superfamily member 13b",1.36756349355314,5.80580701879152,5.94157824386866,6.16979299419418e-06,0.000381116389802952,4.00123947992011,1,5.24539064424793,6.6152973375767
10761,"PLAC1","placenta enriched 1",1.79482421568746,8.19037158583462,4.90997093329002,6.99309154543302e-05,0.00184359006538353,1.64185540265274,1,7.45928794144672,9.24638129439492
10791,"VAMP5","vesicle associated membrane protein 5",1.03941377832152,6.41387392904928,5.12770499253296,4.1574973197285e-05,0.0013307275386259,2.14688223654346,1,5.98977607442256,7.02645971906566
107986768,"LOC107986768","uncharacterized LOC107986768",1.06770938683108,5.04654016175648,3.46664299100897,0.00225168319617329,0.0181961285213684,-1.70331459528763,1,4.61620684729884,5.66813272708419
10886,"NPFFR2","neuropeptide FF receptor 2",1.36559562545155,5.21626021280367,4.94288221671097,6.46317425848998e-05,0.00176245455789052,1.71835823624413,1,4.65769994369999,6.02306949039786
10894,"LYVE1","lymphatic vessel endothelial hyaluronan receptor 1",1.8490343151968,8.3798106041462,4.27831076105628,0.000320243893426836,0.00496439290338265,0.168024854307287,1,7.62605780233647,9.4685646512047
10990,"LILRB5","leukocyte immunoglobulin like receptor B5",1.269794365646,4.43130042780001,9.85758784547055,2.00055122031564e-09,4.2794018001626e-06,11.7026852220671,1,3.91309037928494,5.17982605343289
